;到客户端查看对应小地图图片(dev\scene\uiminimap) 数值-1
0      101
1      102
2      105
11     103
12     104
3      106
4      121
5      161
6    191

d601  26
d602  27
d604  29
d603  28
d605  30
d613  82
d618  87
d606  31
jjc02 10202








nga0 6830
nfox03 331
G001 118
8    223
r001   42
r001a  42
r001b  42
m001  77
nr001   3064
hero1 302
d611   6501
w11    103
t219   37 
t315   54
g003   116
g004   116
g005   116
g006   116
g008   116
g009   116
g010   116
g011   116 
g012   116
g013   116
g014   116

;4      121
d2000  8
d2001  122
d2002  123
d2003  124
d2004  125
d2005  126
d2006  127
d2007  128
d2008  129
d2009  133
d2010  131
d2011  132
d2012  133
d2013  134


wd2004  125
wd2005  126
wd2006  127
wd2008  129
wd2009  130
wd2011  132


;5      161
d2051  162
d2052  163
d2053  164
d2054  165
d2055  166
d2056  167
d2061  171
d2062  172
d2063  173
d2064  174
d2065  175
d2066  176
d2067  177
d2070  181
d2071  182
d2072  183
d2073  184
d2074  185
d2075  186
d2076  187
d2077  188
d2078  189
d2079  190
;火龙洞
d2081 304
d2082 306
d2083 301
wd2083 228

m100  124

h001  68
h002  33
h003  45
h004  31
h005  164
h006  57
h007  47
h008  134
h009  95
h010  184

h106  42
h102   34
h104   30
h105  172
h106  42

h201  10
h202  49
h203  51
h204  38

e402  63
e403  64
l002  129

;6    191
61   192
611  193
612  194
613  195
62   196
621  197
622  198
63   199
631  200
632  201
64   202
65   203
66   204

d001  1
d002  2
d003  3
d011  4
d012  5
d021  6502
d022  6
d023  7
d401  8
d402  9
d403  10
d404  11
d405  12
d406  13
d411  14
d412  15
d413  16
d414  17
d415  18
d416  19
d421  20
d422  21
d501  22
d502  23
d503  24
d504  25

d711  33
d712  34
d713  35
d714  36
d715  55
d716  56
d717  57
d717a 57
f001  37
f002  38
f003  39
f004  40
f005  41

l001  40
l002  129
l003  128
l004  130
l005  134
l006  38

d505  47
d5071  48
d5072  49
d5073  50
d5074  51

d701  53
d715  55
d716  56
d717  57
d718  57
d719  57

e001  59
e002  60
e401  62
e402  63
e403  64
e404  65
e601  67
e602  68
e603  69
e604  70
e605  71
e701  73
e702  74
e703  75

d612  81
d614  83
d615  84
d616  85
d617  86
d10011  91
d10012  92
d10013  93
d1002   94
d10031  95
d10032  96
d1004   97
d10051  98
d10052  99
d10053  108
d10054  109

f001  37
f002  38
f003  39
f004  40
f005  41
f006   111
f007   112
f008   113
f009   114
f010   115

;ga0 223

sw1 248
sw2 249
sw3 250
sw4 251
sw5 252
sw6 253

t_01 219
t_02 218
t_03 217
t_04 220
t_06 216

xj001 57
xj002 57
xj003 57
xj004 57
xj005 57
xj006 57
xj100 122
xj200 124
xj300 125
xj400 126
xj500 127
xj600 129
xj700 133
xj800 134

s001  68
s002  33
s003  45
s004  31
s005  164
s006  57
s007  47
s008  134
s009  95
s010  184

;狐狸洞
fox01  258
fox02   259
fox03   260

xj001 57
xj002 57
xj003 57
xj004 57
xj005 57
xj006 57
xj100 122
xj200 124
xj300 125
xj400 126
xj500 127
xj600 129
xj700 133
xj800 134
by 216
byok 215
by1 211
by2 212
by3 213
by4 214
d024 45
g0002 274
g0003 264

hy1 261
hy2 262
hy3 263

pk1 265
zhizhu 271

taiji01 273
taiji02 272
taiji03 272
taiji04 272
taiji05 272

yanjiang1 267
yanjiang2 268
yanjiang3 269
yanjiang4 270

fd2051  162
fd2052  163
fd2053  164

fd5072  49
fd5073  50
fd5074  51

hl001 6304
hl002 305
h301 307
nd5071 3072

7061 7062

ygsd0 6581
ygsd1 3145
ygsd2 3146
ygsd3 3147
ygsd4 3148


bg0 6153
bg1 6138
bg2 6139 
bg3 6140
bg4 6148
jz003 312
bg6 6152
bsxj 6152

dxhl01 5761
dxhl02 5752
dxhl03 5753

tkzc1 6701
tkzc2 6702
tkzc3 6703

gsld0 6814
gsld1 6017
gsld2 6018
gsld3 6019
gsld4 6813
gsld5 9013
gsld6 9014

pansi 6815

wmmj 5255
zmmj 5256
cymj 5254

cbzd 5387

sjboss1 6816
sjboss2 6817
sjboss3 6818
sjboss4 6819

dbsd 1105

ylccq1 6821
ylccq2 6820
ylccq3 6822
ylccq4 6824
ylccq5 6823

sj01 1002
sj021 1008
sj022 1009
sj03 1003
sj04 1004


ylc5 6825

sj013 6828
sj0211 6827
sj0222 6826

klwl 6829
kl002 6831
kl003 6833
kl004 6832

wdlt 9015


zyt0 9002
zyt3 9005
zyt2 9004
zyt6 9008
zyt7 9009
prcmap11 9011
zyt4 9006
zyt1 9003
prcmap8  9012
zyt8 9010

nd2070 3068
srld 39
l001 40
10022 916
ztg4 1222
hf005 3161

t115 54

d71601 10201
d71602 10201
d71603 10201
d71604 10201
d71605 10201
d71606 10201
d71607 10201
d71608 10201
d71609 10201
d71610 10201
d71611 10201
d71612 10201
d71613 10201
d71614 10201
d71615 10201

30124 20001
30125 20002
30126 20003

Rxsc013 20006
086 20005
05482 20004
fszl  20004
lhjd1 20008
lhjd2 20009
lhjd3 20010
lhjd4 20011
lhjd5 20012
lhjd6 20013

qyzd 20007
Rxsc8001 20014
