///key,,,,,,
///Filter,,,,,,
//;序号,1,2,3,4,5,6
奖励排序,显示名字,奖励物品,物品数量,生效时间,变量,BOSS名字
1,兽人骑士统领,500元宝,500,86400,A201,兽人骑士统领dm002
2,骷髅王,500元宝,500,86400,A202,骷髅王kl003
3,骷髅制造者,500元宝,500,86400,A203,骷髅制造者kl004
4,憎恶电僵王,500元宝,500,86400,A204,憎恶电僵王d405
5,召魂使,500元宝,500,86400,A205,召魂使e404
6,虫族之王,500元宝,500,86400,A206,虫族之王d606
7,暗之毒蛇王,500元宝,500,86400,A207,暗之毒蛇王d717
8,猪皇,500元宝,500,86400,A208,猪皇d717
9,沃玛教皇,500元宝,500,86400,A209,沃玛教皇d024
10,米尔教皇,800元宝,800,86400,A210,米尔教皇d515
11,封印魔兽,800元宝,800,86400,A211,封印魔兽d2011
12,虹魔教主,800元宝,800,86400,A212,虹魔教主d2012
13,昔日封魔霸主,800元宝,800,86400,A213,昔日封魔霸主d2013
14,鸡,1000元宝,1000,86400,A214,鸡7m001
15,十殿阎罗王,1000元宝,1000,86400,A215,十殿阎罗王d2067
16,暗之牛魔王,1000元宝,1000,86400,A216,暗之牛魔王d2079
17,恶魔蛛王,1000元宝,1000,86400,A217,恶魔蛛王d10061
18,鬼眼妖蛛,1000元宝,1000,86400,A218,鬼眼妖蛛d10062
19,万恶之源,1000元宝,1000,86400,A219,万恶之源pansi
20,魔龙万年树妖,1500元宝,1500,86400,A220,魔龙万年树妖64
21,暗之魔龙教主,1500元宝,1500,86400,A221,暗之魔龙教主66
22,魔龙教主,1500元宝,1500,86400,A222,魔龙教主65
23,通天老祖,1500元宝,1500,86400,A223,通天老祖zyt7
24,剑圣,1500元宝,1500,86400,A224,剑圣zyt4
25,通天教主,1500元宝,1500,86400,A225,通天教主prcmap8
26,幽灵教主,1500元宝,1500,86400,A226,幽灵教主ylc4
27,海妖王,1500元宝,1500,86400,A227,海妖王ylc5
28,永恒部落兽王,1500元宝,1500,86400,A228,永恒部落兽王mssd
29,暗黑亡灵,1500元宝,1500,86400,A229,暗黑亡灵dxhl03
30,蚁后,1500元宝,1500,86400,A230,蚁后myd03
31,阿修罗之王,2000元宝,2000,86400,A231,阿修罗之王tkzc03
32,冰原王,2000元宝,2000,86400,A232,冰原王bg05
33,冰原魔,2000元宝,2000,86400,A233,冰原魔bg07
34,美杜莎,2000元宝,2000,86400,A234,美杜莎bg04
35,寒冰雪翼神,2000元宝,2000,86400,A235,寒冰雪翼神bg03
36,湮灭恶龙,2000元宝,2000,86400,A236,湮灭恶龙zsd04
37,领地魔君,2000元宝,2000,86400,A237,领地魔君zsd03
38,魔化沃玛之翼,3000元宝,3000,合区前,A238,魔化沃玛之翼nd2070
39,热血神鹰,3000元宝,3000,合区前,A239,热血神鹰l001
40,半兽人统领,3000元宝,3000,合区前,A240,半兽人统领srld
41,上古牛魔天神,5000元宝,5000,合区前,A241,上古牛魔天神jjc14
42,通天降龙圣尊,5000元宝,5000,合区前,A242,通天降龙圣尊zyt8
43,上古·冰龙之王,10000元宝,10000,864000,A243,上古·冰龙之王bg07
44,残骸·古神之翼,10000元宝,10000,864000,A244,残骸·古神之翼zsd05
