//,,,,,,,,
//,,,,,,,,
idx,宝石名称,宝石IDX,绑定真表,绑定假表,道具数值,是否百分比,道具描述,分解数量
1,1级吸血石,50727,34,123,100,1,吸血比例+1%,1
2,1级孔雀石,50728,89,124,100,1,HP上限+1%,1
3,1级暴击石,50729,21,125,1,1,暴击率+1%,1
4,1级攻坚石,50730,22,126,1,1,暴击伤害+1%,1
5,1级增伤石,50731,75,127,100,1,对怪增伤+1%,1
6,1级物攻石,50732,4,128,1,0,物攻上限+1,1
7,1级魔攻石,50733,6,129,1,0,魔攻上限+1,1
8,1级道攻石,50734,8,130,1,0,道攻上限+1,1
9,1级韧性石,50735,226,131,1,0,韧性+1%,1
10,1级嗜血石,50736,213,132,1,0,吸血+1,1
11,1级强攻石,50737,68,133,1,0,真实伤害+1,1
12,1级命中石,50738,13,134,1,0,命中+1,1
13,1级闪避石,50739,14,135,1,0,闪避+1,1
14,1级宠物石,50740,243,136,1,1,宠物伤害+1%,1
15,1级忽防石,50741,78,137,1,0,忽视目标防御+1,1
16,1级法抗石,50742,23,138,1,1,被暴击概率-1%,1
17,1级反伤石,50743,249,139,1,0,伤害反弹+1,1
18,1级魔防石,50744,12,140,1,0,魔防上限+1,1
19,1级物防石,50745,10,141,1,0,物防上限+1,1
20,1级底攻石,50746,3,142,1,0,物攻下限+1,1
21,1级血怒石,50747,71,143,1,0,每秒恢复HP+1点,1
22,1级复苏石,50748,91,144,1,0,每秒恢复MP+1点,1
23,1级生命石,50749,1,145,3,0,hp上限+3,1
24,1级炼妖石,50750,242,146,1,1,宠物血量+1%,1
25,2级吸血石,50751,34,123,200,1,吸血比例+2%,5
26,2级孔雀石,50752,89,124,200,1,HP上限+2%,5
27,2级暴击石,50753,21,125,2,1,暴击率+2%,5
28,2级攻坚石,50754,22,126,2,1,暴击伤害+2%,5
29,2级增伤石,50755,75,127,200,1,对怪增伤+2%,5
30,2级物攻石,50756,4,128,2,0,物攻上限+2,5
31,2级魔攻石,50757,6,129,2,0,魔攻上限+2,5
32,2级道攻石,50758,8,130,2,0,道攻上限+2,5
33,2级韧性石,50759,226,131,2,0,韧性+2%,5
34,2级嗜血石,50760,213,132,2,0,吸血+2,5
35,2级强攻石,50761,68,133,2,0,真实伤害+2,5
36,2级命中石,50762,13,134,2,0,命中+2,5
37,2级闪避石,50763,14,135,2,0,闪避+2,5
38,2级宠物石,50764,243,136,2,1,宠物伤害+2%,5
39,2级忽防石,50765,78,137,2,0,忽视目标防御+2,5
40,2级法抗石,50766,23,138,2,1,被暴击概率-2%,5
41,2级反伤石,50767,249,139,2,0,伤害反弹+2,5
42,2级魔防石,50768,12,140,2,0,魔防上限+2,5
43,2级物防石,50769,10,141,2,0,物防上限+2,5
44,2级低攻石,50770,3,142,2,0,物攻下限+2,5
45,2级血怒石,50771,71,143,2,0,每秒恢复HP+2点,5
46,2级复苏石,50772,91,144,2,0,每秒恢复MP+2点,5
47,2级生命石,50773,1,145,6,0,hp上限+6,5
48,2级炼妖石,50774,242,146,2,1,宠物血量+2%,5
49,3级吸血石,50775,34,123,300,1,吸血比例+3%,30
50,3级孔雀石,50776,89,124,300,1,HP上限+3%,30
51,3级暴击石,50777,21,125,3,1,暴击率+3%,30
52,3级攻坚石,50778,22,126,3,1,暴击伤害+3%,30
53,3级增伤石,50779,75,127,300,1,对怪增伤+3%,30
54,3级物攻石,50780,4,128,3,0,物攻上限+3,30
55,3级魔攻石,50781,6,129,3,0,魔攻上限+3,30
56,3级道攻石,50782,8,130,3,0,道攻上限+3,30
57,3级韧性石,50783,226,131,3,0,韧性+3%,30
58,3级嗜血石,50784,213,132,3,0,吸血+3,30
59,3级强攻石,50785,68,133,3,0,真实伤害+3,30
60,3级命中石,50786,13,134,3,0,命中+3,30
61,3级闪避石,50787,14,135,3,0,闪避+3,30
62,3级宠物石,50788,243,136,3,1,宠物伤害+3%,30
63,3级忽防石,50789,78,137,3,0,忽视目标防御+3,30
64,3级法抗石,50790,23,138,3,1,被暴击概率-3%,30
65,3级反伤石,50791,249,139,3,0,伤害反弹+3,30
66,3级魔防石,50792,12,140,3,0,魔防上限+3,30
67,3级物防石,50793,10,141,3,0,物防上限+3,30
68,3级低攻石,50794,3,142,3,0,物攻下限+3,30
69,3级血怒石,50795,71,143,3,0,每秒恢复HP+3点,30
70,3级复苏石,50796,91,144,3,0,每秒恢复MP+3点,30
71,3级生命石,50797,1,145,9,0,hp上限+9,30
72,3级炼妖石,50798,242,146,3,1,宠物血量+3%,30
