///key,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24
IDX,宝宝名字,攻击下限,攻击上限,魔法下限,魔法上限,宝宝血量,防御下限,防御上限,魔御下限,魔御上限,魔法加成,道术加成,攻击下限修正,攻击上限修正,魔法下限修正,魔法下限修正,生命值修正,防御下限修正,防御上限修正,魔御下限修正,魔御上限修正,名字索引,道玄道术加成,御灵道术加成
1,神兽0,35,35,35,35,500,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,神兽,0,0
2,神兽1,35,40,35,40,700,80,80,80,80,0,33,0,4,0,4,0,0,0,0,0,神兽1,38,50
3,神兽2,35,45,35,45,1000,80,80,80,80,0,33,0,6,0,6,0,0,0,0,0,月灵,38,50
4,神兽3,35,50,35,50,1400,80,80,80,80,0,33,0,9,0,9,0,0,0,0,0,玄冰麒麟,38,50
5,神兽4,40,55,40,55,1900,80,80,80,80,0,33,5,11,5,11,0,0,0,0,0,炽焰麒麟,38,50
6,神兽5,45,60,45,60,2500,80,80,80,80,0,33,10,12,10,12,0,0,0,0,0,上古玄武,38,50
7,神兽6,50,65,50,65,3200,80,80,80,80,0,33,15,13,15,13,0,0,0,0,0,上古玄武1,38,50
8,神兽7,55,70,55,70,4000,80,80,80,80,0,33,20,13,20,13,0,0,0,0,0,上古朱雀,38,50
9,神兽10,35,35,35,35,500,80,80,80,80,0,0,0,0,0,0,0,0,0,0,0,上古朱雀1,0,0
10,神兽11,35,40,35,40,700,80,80,80,80,0,33,0,4,0,4,0,0,0,0,0,上古白虎,38,50
11,神兽12,35,45,35,45,1000,80,80,80,80,0,33,0,6,0,6,0,0,0,0,0,上古白虎1,38,50
12,神兽13,35,50,35,50,1400,80,80,80,80,0,33,0,9,0,9,0,0,0,0,0,上古青龙,38,50
13,神兽14,40,55,40,55,1900,80,80,80,80,0,33,5,11,5,11,0,0,0,0,0,上古青龙1,38,50
14,神兽15,45,60,45,60,2500,80,80,80,80,0,33,10,12,10,12,0,0,0,0,0,虎卫2,38,50
15,神兽16,50,65,50,65,3200,80,80,80,80,0,33,15,13,15,13,0,0,0,0,0,多角虫,38,50
16,神兽17,55,70,55,70,4000,80,80,80,80,0,33,20,13,20,13,0,0,0,0,0,龙卫2,38,50
17,月灵0,55,55,55,55,1000,125,125,125,125,0,0,0,0,0,0,0,0,0,0,0,鹰卫2,0,0
18,月灵1,58,58,58,58,1400,125,125,125,125,0,33,3,1,3,1,340,0,0,0,0,巨型多角虫,38,50
19,月灵2,60,62,60,62,2000,125,125,125,125,0,33,5,3,5,3,880,0,0,0,0,巨型多角虫7,38,50
20,月灵3,62,65,62,65,2800,125,125,125,125,0,33,7,4,7,4,1620,0,0,0,0,牛魔侍卫,38,50
21,月灵4,64,70,64,70,3800,125,125,125,125,0,33,9,7,9,7,2560,0,0,0,0,牛魔法师,38,50
22,月灵5,68,75,68,75,5000,125,125,125,125,0,33,13,10,13,10,3700,0,0,0,0,牛魔将军,38,50
23,月灵6,70,80,70,80,6400,125,125,125,125,0,33,15,13,15,13,5040,0,0,0,0,牛魔将军3,38,50
24,月灵7,75,85,75,85,8000,125,125,125,125,0,33,20,16,20,16,6580,0,0,0,0,天狼蜘蛛,38,50
25,玄冰麒麟0,55,55,55,55,1500,180,180,180,180,0,0,0,0,0,0,0,0,0,0,0,天狼蜘蛛5,0,0
26,玄冰麒麟1,61,61,61,61,2100,180,180,180,180,0,33,6,4,6,4,540,0,0,0,0,黑锷蜘蛛,38,50
27,玄冰麒麟2,66,66,66,66,3000,180,180,180,180,0,33,11,7,11,7,1380,0,0,0,0,黑锷蜘蛛3,38,50
28,玄冰麒麟3,72,72,72,72,4200,180,180,180,180,0,33,17,11,17,11,2520,0,0,0,0,黑锷蜘蛛5,38,50
29,玄冰麒麟4,77,77,77,77,5700,180,180,180,180,0,33,22,14,22,14,3960,0,0,0,0,魔龙刺蛙,38,50
30,玄冰麒麟5,83,83,83,83,7500,180,180,180,180,0,33,28,18,28,18,5700,0,0,0,0,兵蚁,38,50
31,玄冰麒麟6,88,88,88,88,9600,180,180,180,180,0,33,33,21,33,21,7740,0,0,0,0,圣兽,38,50
32,玄冰麒麟7,94,94,94,94,12000,180,180,180,180,0,33,39,25,39,25,10080,0,0,0,0,圣兽王,38,50
33,炽焰麒麟0,50,50,50,50,1250,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,月灵1,0,0
34,炽焰麒麟1,55,55,55,55,1750,150,150,150,150,0,33,5,3,5,3,440,0,0,0,0,圣兽1,38,50
35,炽焰麒麟2,60,60,60,60,2500,150,150,150,150,0,33,10,6,10,6,1130,0,0,0,0,圣兽王1,38,50
36,炽焰麒麟3,65,65,65,65,3500,150,150,150,150,0,33,15,9,15,9,2070,0,0,0,0,三头火龙,38,50
37,炽焰麒麟4,70,70,70,70,4750,150,150,150,150,0,33,20,12,20,12,3260,0,0,0,0,变异圣兽王,38,50
38,炽焰麒麟5,75,75,75,75,6250,150,150,150,150,0,33,25,15,25,15,4700,0,0,0,0,变异圣兽王1,38,50
39,炽焰麒麟6,80,80,80,80,8000,150,150,150,150,0,33,30,18,30,18,6390,0,0,0,0,迷失巡游兵,38,50
40,炽焰麒麟7,85,85,85,85,10000,150,150,150,150,0,33,35,21,35,21,8330,0,0,0,0,王陵卫士,38,50
41,上古玄武0,90,90,90,90,2000,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,牛魔祭司,0,0
42,上古玄武1,99,99,99,99,2800,230,230,230,230,0,33,9,7,9,7,740,0,0,0,0,,38,50
43,上古玄武2,108,108,108,108,4000,230,230,230,230,0,33,18,14,18,14,1880,0,0,0,0,,38,50
44,上古玄武3,117,117,117,117,5600,230,230,230,230,0,33,27,21,27,21,3420,0,0,0,0,,38,50
45,上古玄武4,126,126,126,126,7600,230,230,230,230,0,33,36,28,36,28,5360,0,0,0,0,,38,50
46,上古玄武5,135,135,135,135,10000,230,230,230,230,0,33,45,35,45,35,7700,0,0,0,0,,38,50
47,上古玄武6,144,144,144,144,12800,230,230,230,230,0,33,54,42,54,42,10400,0,0,0,0,,38,50
48,上古玄武7,153,153,153,153,16000,230,230,230,230,0,33,63,49,63,49,13580,0,0,0,0,,38,50
49,上古玄武10,90,90,90,90,2000,230,230,230,230,0,0,0,0,0,0,0,0,0,0,0,,0,0
50,上古玄武11,99,99,99,99,2800,230,230,230,230,0,33,9,7,9,7,740,0,0,0,0,,38,50
51,上古玄武12,108,108,108,108,4000,230,230,230,230,0,33,18,14,18,14,1880,0,0,0,0,,38,50
