///key,,,,,,,,,,,,,,,,,,,,,,,
///Filter,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
IDX,宝宝名字,攻击下限,攻击上限,魔法下限,魔法上限,宝宝血量,防御下限,防御上限,魔御下限,魔御上限,魔法加成,道术加成,攻击下限修正,攻击上限修正,魔法下限修正,魔法下限修正,生命值修正,防御下限修正,防御上限修正,魔御下限修正,魔御上限修正,名字索引,
1,神兽0,35,35,35,35,500,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,神兽,
2,神兽1,35,40,35,40,700,75,75,75,75,0,33,0,4,0,4,0,0,0,0,0,神兽1,
3,神兽2,35,45,35,45,1000,75,75,75,75,0,33,0,6,0,6,0,0,0,0,0,月灵,
4,神兽3,35,50,35,50,1400,75,75,75,75,0,33,0,9,0,9,0,0,0,0,0,玄冰麒麟,
5,神兽4,40,55,40,55,1900,75,75,75,75,0,33,5,11,5,11,0,0,0,0,0,炽焰麒麟,
6,神兽5,45,60,45,60,2500,75,75,75,75,0,33,10,12,10,12,0,0,0,0,0,上古玄武,
7,神兽6,50,65,50,65,3200,75,75,75,75,0,33,15,13,15,13,0,0,0,0,0,上古玄武1,
8,神兽7,55,70,55,70,4000,75,75,75,75,0,33,20,13,20,13,0,0,0,0,0,上古朱雀,
9,神兽10,35,35,35,35,500,75,75,75,75,0,0,0,0,0,0,0,0,0,0,0,上古朱雀1,
10,神兽11,35,40,35,40,700,75,75,75,75,0,33,0,4,0,4,0,0,0,0,0,上古白虎,
11,神兽12,35,45,35,45,1000,75,75,75,75,0,33,0,6,0,6,0,0,0,0,0,上古白虎1,
12,神兽13,35,50,35,50,1400,75,75,75,75,0,33,0,9,0,9,0,0,0,0,0,上古青龙,
13,神兽14,40,55,40,55,1900,75,75,75,75,0,33,5,11,5,11,0,0,0,0,0,上古青龙1,
14,神兽15,45,60,45,60,2500,75,75,75,75,0,33,10,12,10,12,0,0,0,0,0,虎卫2,
15,神兽16,50,65,50,65,3200,75,75,75,75,0,33,15,13,15,13,0,0,0,0,0,多角虫,
16,神兽17,55,70,55,70,4000,75,75,75,75,0,33,20,13,20,13,0,0,0,0,0,龙卫2,
17,月灵0,55,55,55,55,1000,120,120,120,120,0,0,0,0,0,0,0,0,0,0,0,鹰卫2,
18,月灵1,58,58,58,58,1400,120,120,120,120,0,33,3,1,3,1,340,0,0,0,0,巨型多角虫,
19,月灵2,60,62,60,62,2000,120,120,120,120,0,33,5,3,5,3,880,0,0,0,0,巨型多角虫7,
20,月灵3,62,65,62,65,2800,120,120,120,120,0,33,7,4,7,4,1620,0,0,0,0,牛魔侍卫,
21,月灵4,64,70,64,70,3800,120,120,120,120,0,33,9,7,9,7,2560,0,0,0,0,牛魔法师,
22,月灵5,68,75,68,75,5000,120,120,120,120,0,33,13,10,13,10,3700,0,0,0,0,牛魔将军,
23,月灵6,70,80,70,80,6400,120,120,120,120,0,33,15,13,15,13,5040,0,0,0,0,牛魔将军3,
24,月灵7,75,85,75,85,8000,120,120,120,120,0,33,20,16,20,16,6580,0,0,0,0,天狼蜘蛛,
25,玄冰麒麟0,55,55,55,55,1200,150,150,150,150,0,0,0,0,0,0,0,0,0,0,0,天狼蜘蛛5,
26,玄冰麒麟1,61,61,61,61,1680,150,150,150,150,0,33,6,4,6,4,420,0,0,0,0,黑锷蜘蛛,
27,玄冰麒麟2,66,66,66,66,2400,150,150,150,150,0,33,11,7,11,7,1080,0,0,0,0,黑锷蜘蛛3,
28,玄冰麒麟3,72,72,72,72,3360,150,150,150,150,0,33,17,11,17,11,1980,0,0,0,0,黑锷蜘蛛5,
29,玄冰麒麟4,77,77,77,77,4560,150,150,150,150,0,33,22,14,22,14,3120,0,0,0,0,魔龙刺蛙,
30,玄冰麒麟5,83,83,83,83,6000,150,150,150,150,0,33,28,18,28,18,4500,0,0,0,0,兵蚁,
