///key,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,
//序列,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
索引,教主名称,教主坐标x,刷新地图,地图名称,地图坐标x,时间显示,时间坐标x,刷新浮动,浮动坐标x,占用变量,已刷状态x,未刷状态x,刷新状态,状态显示x,统一坐标y,刷新CD,查询名称,击杀索引
1,兽人骑士统领,165,dm002,国王陵墓,64,30分钟,292,/,395,G121,460,452,A121,555,105,1800,兽人骑士统领,兽人骑士统领dm002
2,骷髅王,185,kl003,骷髅洞三层,55,60分钟,292,5分钟,380,G122,460,452,A122,555,144,3600,骷髅王,骷髅王kl003
3,骷髅制造者,170,kl004,骷髅洞四层,55,60分钟,292,5分钟,380,G123,460,452,A123,555,183,3600,骷髅制造者,骷髅制造者kl004
4,骷髅制造者,170,klwl,骷髅王陵,64,120分钟,289,5分钟,380,G124,460,452,A124,555,222,7200,骷髅制造者,骷髅制造者klwl
5,骷髅王,185,klwl,骷髅王陵,64,120分钟,289,5分钟,380,G125,460,452,A125,555,261,7200,骷髅王,骷髅王klwl
6,憎恶电僵王,170,d405,废矿洞四层,55,120分钟,289,5分钟,380,G126,460,452,A126,555,300,7200,憎恶电僵王,憎恶电僵王d405
7,召魂使,185,e404,废矿洞五层,55,120分钟,289,5分钟,380,G127,460,452,A127,555,339,7200,召魂使,召魂使e404
8,召魂使,185,q004,尸王殿,70,120分钟,289,5分钟,380,G128,460,452,A128,555,378,7200,召魂使,召魂使q004
9,憎恶电僵王,170,q004,尸王殿,70,120分钟,289,5分钟,380,G129,460,452,A129,555,105,7200,憎恶电僵王,憎恶电僵王q004
10,虫族之王,180,d606,死亡棺材,64,120分钟,289,5分钟,380,G130,460,452,A130,555,144,7200,虫族之王,虫族之王d606
11,暗之毒蛇王,170,d717,猪洞七层,64,60分钟,292,/,395,G131,460,452,A131,555,183,3600,暗之毒蛇王,暗之毒蛇王d717
12,猪皇,195,d717,猪洞七层,64,60分钟,292,/,395,G132,460,452,A132,555,222,3600,猪皇,猪皇d717
13,沃玛教皇,180,d024,沃玛寺庙大殿,49,60分钟,292,/,395,G133,460,452,A133,555,261,3600,沃玛教皇,沃玛教皇d024
14,魔化沃玛之翼,165,nd2070,魔化之巢,64,360分钟,289,5分钟,380,G134,460,452,A134,555,300,21600,魔化沃玛之翼,魔化沃玛之翼nd2070
15,米尔教皇,180,d515,祖玛教主之家,49,60分钟,292,/,395,G135,460,452,A135,555,339,3600,米尔教皇,米尔教皇d515
16,封印魔兽,180,d2011,魔魂殿,70,60分钟,292,5分钟,380,G136,460,452,A136,555,378,3600,封印魔兽,封印魔兽d2011
17,虹魔教主,180,d2012,炼狱回廊,64,60分钟,292,5分钟,380,G137,460,452,A137,555,105,3600,虹魔教主,虹魔教主d2012
18,昔日封魔霸主,165,d2013,封魔殿,70,60分钟,292,5分钟,380,G138,460,452,A138,555,144,3600,昔日封魔霸主,昔日封魔霸主d2013
19,十殿阎罗王,170,d2067,骨魔洞五层,55,120分钟,289,5分钟,380,G139,460,452,A139,555,183,7200,十殿阎罗王,十殿阎罗王d2067
