///key,,,,
///Filter,,,,
//;序号,1,2,3,4
排序,产出名称,限制数量,限制变量,刷新时常(d)
1,蟠桃,20,G41,1
2,紫薇星石,5,G42,1
3,天命神石,10,G43,1
4,菩提果,30,G44,1
5,暗影之心,2,G45,30
6,道法自然,2,G46,30
7,诛仙头盔,3,G47,30
8,金鸾护腕,3,G48,30
9,百战手套,3,G49,30
10,持国天王魔戒,1,G50,30
11,增长天王魔戒,1,G51,30
12,广目天王魔戒,1,G52,30
13,多闻天王魔戒,1,G53,30
14,金鳞笠,8,G54,30
15,雷楔,10,G58,30
16,静寂项链,2,G60,30
17,静寂手套,2,G60,30
18,静寂戒指,2,G60,30
19,静寂腰带,2,G60,30
20,静寂靴子,2,G60,30
21,冰龙头盔,2,G61,30
22,冰龙项链,2,G61,30
23,冰龙手镯,2,G61,30
24,冰龙戒指,2,G61,30
25,冰龙腰带,2,G61,30
26,冰龙靴子,2,G61,30
27,上古∶圣龙噬灵盔,3,G62,30
28,上古∶圣龙噬灵链,3,G62,30
29,上古∶圣龙噬灵镯,3,G62,30
30,上古∶圣龙噬灵戒,3,G62,30
31,上古∶圣龙噬灵带,3,G62,30
32,上古∶圣龙噬灵靴,3,G62,30
33,上古∶火龙焚天盔,3,G62,30
34,上古∶火龙焚天链,3,G62,30
35,上古∶火龙焚天镯,3,G62,30
36,上古∶火龙焚天戒,3,G62,30
37,上古∶火龙焚天带,3,G62,30
38,上古∶火龙焚天靴,3,G62,30
39,上古∶苍龙逆火盔,3,G62,30
40,上古∶苍龙逆火链,3,G62,30
41,上古∶苍龙逆火镯,3,G62,30
42,上古∶苍龙逆火戒,3,G62,30
43,上古∶苍龙逆火带,3,G62,30
44,上古∶苍龙逆火靴,3,G62,30
45,虎皇末世盔,4,G63,30
46,虎皇末世链,4,G63,30
47,虎皇末世镯,4,G63,30
48,虎皇末世戒,4,G63,30
49,虎皇末世带,4,G63,30
50,虎皇末世靴,4,G63,30
51,虎皇狱火盔,4,G63,30
52,虎皇狱火链,4,G63,30
53,虎皇狱火镯,4,G63,30
54,虎皇狱火戒,4,G63,30
55,虎皇狱火带,4,G63,30
56,虎皇狱火靴,4,G63,30
57,虎皇霸天盔,4,G63,30
58,虎皇霸天链,4,G63,30
59,虎皇霸天镯,4,G63,30
60,虎皇霸天戒,4,G63,30
61,虎皇霸天带,4,G63,30
62,虎皇霸天靴,4,G63,30
63,天玑明王盔,5,G64,30
64,天玑明王链,5,G64,30
65,天玑明王镯,5,G64,30
66,天玑明王戒,5,G64,30
67,天玑明王带,5,G64,30
68,天玑明王靴,5,G64,30
69,天权烈焰盔,5,G64,30
70,天权烈焰链,5,G64,30
71,天权烈焰镯,5,G64,30
72,天权烈焰戒,5,G64,30
73,天权烈焰带,5,G64,30
74,天权烈焰靴,5,G64,30
75,天枢幻灭盔,5,G64,30
76,天枢幻灭链,5,G64,30
77,天枢幻灭镯,5,G64,30
78,天枢幻灭戒,5,G64,30
79,天枢幻灭带,5,G64,30
80,天枢幻灭靴,5,G64,30
81,战魂烈日盔,10,G65,30
82,战魂烈日链,10,G65,30
83,战魂烈日镯,10,G65,30
84,战魂烈日戒,10,G65,30
85,战魂烈日带,10,G65,30
86,战魂烈日靴,10,G65,30
87,法魂幻月盔,10,G65,30
88,法魂幻月链,10,G65,30
89,法魂幻月镯,10,G65,30
90,法魂幻月戒,10,G65,30
91,法魂幻月带,10,G65,30
92,法魂幻月靴,10,G65,30
93,道魂星辰盔,10,G65,30
94,道魂星辰链,10,G65,30
95,道魂星辰镯,10,G65,30
96,道魂星辰戒,10,G65,30
97,道魂星辰带,10,G65,30
98,道魂星辰靴,10,G65,30
99,骑士战甲(男),2,G66,2
100,骑士战甲(女),2,G66,2
101,三魂浩瀚甲(男),1,G67,3
102,三魂浩瀚衣(女),1,G67,3
103,天玑明王战甲(男),1,G68,7
104,天玑明王战甲(女),1,G68,7
105,天权烈焰法袍(男),1,G68,7
106,天权烈焰法袍(女),1,G68,7
107,天枢幻灭道衣(男),1,G68,7
108,天枢幻灭道衣(女),1,G68,7
109,虎皇霸天铠(男),1,G69,30
110,虎皇霸天铠(女),1,G69,30
111,虎皇狱火袍(男),1,G69,30
112,虎皇狱火袍(女),1,G69,30
113,虎皇末世衣(男),1,G69,30
114,虎皇末世衣(女),1,G69,30
115,上古·苍龙甲(男),1,G70,60
116,上古·苍龙甲(女),1,G70,60
117,上古·火龙袍(男),1,G70,60
118,上古·火龙袍(女),1,G70,60
119,上古·圣龙衣(男),1,G70,60
120,上古·圣龙衣(女),1,G70,60
