//,,,,,,,,,,,,,,,,,
0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17
idx,地图名称,地图等级,所需等级,所需金币,所需材料,材料数值,是否随机,传送名称,传送地图,传送坐标X,传送坐标Y,提示1,提示2,提示3,提示4,提示5,传送范围
1,新手村,1,0,0,*,0,0,1,lgf,62,62,共一层,<30秒/FCOLOR=11003>,<金币、基础装备/FCOLOR=249>,无,★,10
2,半兽古墓,1,0,0,*,0,0,1,d001,0,0,共四层,<精英：10分钟，BOSS：30分钟/FCOLOR=11003>,<精修卷轴、声望令牌、沃玛、祖玛等/FCOLOR=253>,无,★,0
3,骷髅洞穴,1,0,0,*,0,1,1,d2051,112,175,共五层,<精英：10分钟，BOSS：30分钟/FCOLOR=11003>,<沃玛、祖玛、赤月、天之赤月等/FCOLOR=253>,无,★,3
4,废弃矿洞,1,0,0,*,0,1,1,d401,28,179,共六层,<精英：10分钟，BOSS：30分钟/FCOLOR=11003>,<祖玛、赤月、天之赤月、雷霆等/FCOLOR=253>,无,★,3
5,蜈蚣洞穴,1,0,0,*,0,1,1,d601,206,233,共八层,<精英：10分钟，BOSS：15分钟/FCOLOR=11003>,<赤月、天之赤月、雷霆、强化雷霆等/FCOLOR=253>,无,★★,3
6,石墓猪洞,1,0,0,*,0,1,0,d711,203,201,共七层,<精英：10分钟，BOSS：20分钟/FCOLOR=11003>,<赤月、天之赤月、雷霆、强化雷霆、魔龙等/FCOLOR=253>,无,★★,3
7,沃玛寺庙,1,0,0,*,0,1,0,d021,70,68,共四层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<天之赤月、雷霆、强化雷霆、魔龙、强化魔龙等/FCOLOR=253>,无,★★★,3
8,祖玛寺庙,2,28,15000,*,0,1,0,d501,166,215,共十层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<雷霆、强化雷霆、魔龙、强化魔龙、域级装备等/FCOLOR=253>,15000金币,★★★,3
9,牛魔寺庙,2,28,45000,*,0,1,1,d2071,223,221,共七层,<牛魔王：30分钟，暗之牛魔王：120分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,45000金币,★★★★,5
10,骨魔洞穴,2,28,35000,*,0,1,0,d2061,21,170,共五层,<精英：10分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,35000金币,★★★★,3
11,封魔殿,2,28,25000,*,0,1,0,d2004,75,74,共八层,<精英：10分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,25000金币,★★★,3
12,赤月峡谷,2,28,55000,*,0,1,0,12,325,465,共十二层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,55000金币,★★★★★,3
13,魔龙山脉,2,28,85000,*,0,1,0,61,39,131,共十二层,<BOSS：30分钟，魔龙教主：120分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,85000金币,★★★★★,3
14,未知暗殿,2,55,95000,*,0,0,1,m001,0,0,共一层,<精英：15分钟，BOSS：20分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,55级+95000金币,★★★★★,5
15,通天塔,2,55,125000,*,0,1,0,zyt0,18,48,共九层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,55级+125000金币,★★★★★★,2
16,世外桃源,2,55,150000,*,0,0,1,nr001,0,0,共一层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,55级+150000金币,★★★★★★,5
17,幽灵船,3,60,0,绿晶矿,25,1,0,ylc1,178,164,共五层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,60级+绿晶矿*25,★★★★★★★,3
18,迷失部落,3,60,0,绿晶矿,50,1,0,msbl01,38,61,共五层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,60级+绿晶矿*50,★★★★★★★,3
19,地下王陵,3,60,0,绿晶矿,75,1,0,dxhl01,161,175,共三层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,60级+绿晶矿*75,★★★★★★★,3
20,蚂蚁洞穴,3,60,0,绿晶矿,100,0,0,myd03,0,0,共一层,<BOSS：30分钟，蚁后：120分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,60级+绿晶矿*100,★★★★★★★★,5
21,天空之城,3,60,0,绿晶矿,125,1,0,tkzc01,50,250,共三层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,60级+绿晶矿*125,★★★★★★★★★,5
22,古神领地,3,65,0,女娲石,3,1,0,zsd01,20,55,共五层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,65级+女娲石*3,★★★★★★★★★★,3
23,寒冰世界,3,65,0,女娲石,1,1,0,bg01,149,142,共六层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,65级+女娲石*1,★★★★★★★★★★,5
24,神罚之地,3,75,0,百炼龙魂石,1,1,0,Rxsc013,185,187,共五层,<精英：15分钟，BOSS：30分钟/FCOLOR=11003>,<强化雷霆、魔龙、强化魔龙、域级、远古系列等/FCOLOR=253>,75级+百炼龙魂石*1,★★★★★★★★★★,3
