//,,,,,
//,,,,,
idx,怪物名字,金攻击,金防御,土攻击,土防御
1,神兽,5,15,0,300
2,神兽1,5,15,0,300
3,虎卫,0,0,0,50
4,月灵,20,50,0,0
5,铁血神鹰,3,0,0,0
6,蝎子王,10,0,0,0
7,兽人骑士统领,25,0,0,0
8,骷髅将军,15,0,0,0
9,骷髅王,25,0,0,0
10,骷髅制造者,25,0,0,0
11,憎恶电僵王,25,0,0,0
12,召魂使,25,0,0,0
13,暗之毒蛇王,25,0,0,0
14,猪皇,25,0,0,0
15,沃玛教皇,25,0,0,0
16,祖玛弓箭手,3,0,0,0
17,祖玛卫士,3,0,0,0
18,祖玛雕像,3,0,0,0
19,大老鼠,3,0,0,0
20,祖玛卫士3,3,0,0,0
21,祖玛雕像3,3,0,0,0
22,祖玛弓箭手3,3,0,0,0
23,祖玛卫士长,3,0,0,0
24,祖玛神射手,3,0,0,0
25,米尔教皇,50,0,0,0
26,昔日封魔霸主,50,0,0,0
27,封印魔兽,50,0,0,0
28,虹魔教主,50,0,0,0
29,骷髅弓箭手,3,0,0,0
30,骷髅刀斧手,3,0,0,0
31,骷髅刀兵,3,0,0,0
32,恶灵尸王,3,0,0,0
33,恶灵食尸鬼,3,0,0,0
34,恶灵僵尸,3,0,0,0
35,骷髅统帅,3,0,0,0
36,十殿阎罗王,50,0,0,0
37,牛头魔,3,0,0,0
38,牛魔斗士,3,0,0,0
39,牛魔战士,3,0,0,0
40,牛魔侍卫,3,3,0,0
41,牛魔法师,3,9,0,0
42,牛魔将军3,3,5,0,0
43,牛魔将军,3,5,0,0
44,牛魔祭司,3,0,0,0
45,暗之牛魔王,50,0,0,0
46,暴牙蜘蛛,3,0,0,0
47,剧毒蜘蛛,3,0,0,0
48,月魔蜘蛛,3,0,0,0
49,花吻蜘蛛,3,0,0,0
50,天狼蜘蛛,3,7,0,0
51,花吻蜘蛛5,3,0,0,0
52,天狼蜘蛛5,3,7,0,0
53,血僵尸,3,0,0,0
54,血巨人,3,0,0,0
55,黑锷蜘蛛,3,11,0,0
56,黑锷蜘蛛5,3,11,0,0
57,黑锷蜘蛛3,3,11,0,0
58,血巨人5,3,0,0,0
59,血僵尸5,3,0,0,0
60,恶魔蛛王,50,0,0,0
61,万恶之源,50,0,0,0
62,鬼眼妖蛛,50,0,0,0
63,魔龙射手,3,0,0,0
64,魔龙血蛙,3,0,0,0
65,魔龙刺蛙,3,13,0,0
66,魔龙邪眼,3,0,0,0
