//,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20
Idx,合成物品,合成IDX,合成材料1,材料1ID,材料1数量,合成材料2,材料2ID,材料2数量,合成材料3,材料3ID,材料3数量,合成材料4,材料4ID,材料4数量,合成材料5,材料5ID,材料5数量,合成材料6,材料6ID,材料6数量
1,井中月,50119,绿晶矿,10462,30,金币,1,150000,炼狱,50100,1,,,,,,,,,
2,裁决之杖,50229,绿晶矿,10462,100,金币,1,500000,井中月,50119,1,,,,,,,,,
3,怒斩,50232,绿晶矿,10462,300,金币,1,1500000,裁决之杖,50229,1,,,,,,,,,
4,屠龙,50235,绿晶矿,10462,1000,金币,1,5000000,怒斩,50232,1,,,,,,,,,
5,天之裁决,50610,天外陨铁,10433,1,女娲石,10463,1,金条,10154,1,裁决之杖,50229,1,,,,,,
6,金域怒斩,50445,天外陨铁,10433,10,女娲石,10463,5,金盒,10156,1,怒斩,50232,1,,,,,,
7,黄金裁决,50766,天外陨铁,10433,5,女娲石,10463,5,金盒,10156,1,裁决之杖,50229,1,,,,,,
8,黄金屠龙,50611,天外陨铁,10433,10,女娲石,10463,10,金盒,10156,3,屠龙,50235,1,,,,,,
9,黄金鬼炎,50612,天外陨铁,10433,20,混元晶石,10432,30,金盒,10156,2,鬼炎,50584,1,,,,,,
10,天之开天,50613,天外陨铁,10433,100,女娲石,10463,50,金盒,10156,10,开天,50588,1,,,,,,
11,,,,,,,,,,,,,,,,,,,,
12,骨玉权杖,50230,绿晶矿,10462,30,金币,1,150000,魔杖,50120,1,,,,,,,,,
13,血饮,50768,绿晶矿,10462,100,金币,1,500000,骨玉权杖,50230,1,,,,,,,,,
14,龙牙,50233,绿晶矿,10462,300,金币,1,1500000,血饮,50768,1,,,,,,,,,
15,嗜魂法杖,50236,绿晶矿,10462,1000,金币,1,5000000,龙牙,50233,1,,,,,,,,,
16,天之骨玉权杖,50605,天外陨铁,10433,1,女娲石,10463,1,金条,10154,1,骨玉权杖,50230,1,,,,,,
17,紫金嗜魂法杖,50606,天外陨铁,10433,10,女娲石,10463,10,金盒,10156,3,嗜魂法杖,50236,1,,,,,,
18,,,,,,,,,,,,,,,,,,,,
19,无极棍,50121,绿晶矿,10462,30,金币,1,150000,银蛇,50097,1,,,,,,,,,
20,龙纹剑,50231,绿晶矿,10462,100,金币,1,500000,无极棍,50121,1,,,,,,,,,
21,逍遥扇,50234,绿晶矿,10462,300,金币,1,1500000,龙纹剑,50231,1,,,,,,,,,
22,倚天剑,50237,绿晶矿,10462,1000,金币,1,5000000,逍遥扇,50234,1,,,,,,,,,
23,天之龙纹剑,50607,天外陨铁,10433,1,女娲石,10463,1,金条,10154,1,龙纹剑,50231,1,,,,,,
24,黄金龙纹剑,50608,天外陨铁,10433,5,混元晶石,10432,5,金盒,10156,1,龙纹剑,50231,1,,,,,,
25,赤金逍遥扇,50609,天外陨铁,10433,50,女娲石,10463,50,金盒,10156,6,逍遥扇,50234,1,,,,,,
26,,,,,,,,,,,,,,,,,,,,
