///key,,,,
///Filter,,,,
//;图鉴序号,1,2,3,4
IDX,索引数据,回收物品,回收数量,装备名字
1,50759,绿晶矿,2,1级荣誉勋章
2,50760,绿晶矿,2,2级荣誉勋章
3,50761,绿晶矿,2,3级荣誉勋章
4,50762,绿晶矿,2,4级荣誉勋章
5,50110,绿晶矿,1,幽灵项链
6,50111,绿晶矿,1,幽灵手套
7,50112,绿晶矿,1,龙之戒指
8,50113,绿晶矿,1,生命项链
9,50114,绿晶矿,1,思贝儿手镯
10,50115,绿晶矿,1,红宝石戒指
11,50116,绿晶矿,1,天珠项链
12,50117,绿晶矿,1,心灵手镯
13,50118,绿晶矿,1,铂金戒指
14,50119,绿晶矿,2,井中月
15,50120,绿晶矿,1,魔杖
16,50121,绿晶矿,2,无极棍
17,50122,绿晶矿,2,黑铁头盔
18,50123,绿晶矿,2,绿色项链
19,50124,绿晶矿,2,骑士手镯
20,50125,绿晶矿,2,力量戒指
21,50126,绿晶矿,2,恶魔铃铛
22,50127,绿晶矿,2,龙之手镯
23,50128,绿晶矿,2,紫碧螺
24,50129,绿晶矿,2,灵魂项链
25,50130,绿晶矿,2,三眼手镯
26,50131,绿晶矿,2,泰坦戒指
27,50132,绿晶矿,1,战神盔甲男
28,50133,绿晶矿,1,战神盔甲女
29,50136,绿晶矿,1,恶魔长袍男
30,50137,绿晶矿,1,恶魔长袍女
31,50134,绿晶矿,1,幽灵战衣(男)
32,50135,绿晶矿,1,幽灵战衣(女)
33,50229,绿晶矿,3,裁决之杖
34,50230,绿晶矿,3,骨玉权杖
35,50231,绿晶矿,3,龙纹剑
36,50386,绿晶矿,2,神秘头盔
37,50387,绿晶矿,2,神秘项链
38,50388,绿晶矿,2,神秘手镯
39,50389,绿晶矿,2,神秘戒指
40,50390,绿晶矿,2,神秘腰带
41,50391,绿晶矿,2,神秘靴子
42,50392,绿晶矿,4,神秘勋章
43,50393,绿晶矿,2,虹魔头盔
44,50394,绿晶矿,2,虹魔项链
45,50395,绿晶矿,2,虹魔手镯
46,50396,绿晶矿,2,虹魔戒指
47,50397,绿晶矿,2,虹魔腰带
48,50398,绿晶矿,2,虹魔靴子
49,50399,绿晶矿,4,虹魔勋章
50,50400,绿晶矿,2,魔血头盔
51,50401,绿晶矿,2,魔血项链
52,50402,绿晶矿,2,魔血手镯
53,50403,绿晶矿,2,魔血戒指
54,50404,绿晶矿,2,魔血腰带
55,50405,绿晶矿,2,魔血靴子
56,50406,绿晶矿,4,魔血勋章
57,50407,绿晶矿,1,记忆头盔
58,50408,绿晶矿,1,记忆项链
59,50409,绿晶矿,1,记忆手镯
60,50410,绿晶矿,1,记忆戒指
61,50411,绿晶矿,2,记忆勋章
62,50139,绿晶矿,3,圣战头盔
63,50140,绿晶矿,3,圣战项链
64,50142,绿晶矿,3,圣战手镯
65,50143,绿晶矿,3,圣战戒指
66,50144,绿晶矿,3,圣战腰带
67,50145,绿晶矿,3,圣战靴子
68,50141,绿晶矿,6,圣战勋章
69,50146,绿晶矿,3,法神头盔
70,50147,绿晶矿,3,法神项链
71,50149,绿晶矿,3,法神手镯
72,50150,绿晶矿,3,法神戒指
73,50151,绿晶矿,3,法神腰带
74,50152,绿晶矿,3,法神靴子
75,50148,绿晶矿,6,法神勋章
76,50153,绿晶矿,3,天尊头盔
77,50154,绿晶矿,3,天尊项链
78,50156,绿晶矿,3,天尊手镯
79,50157,绿晶矿,3,天尊戒指
80,50158,绿晶矿,3,天尊腰带
81,50159,绿晶矿,3,天尊靴子
82,50155,绿晶矿,6,天尊勋章
83,50223,绿晶矿,3,天魔神甲
84,50224,绿晶矿,3,圣战宝甲
85,50225,绿晶矿,3,法神披风
86,50226,绿晶矿,3,霓裳羽衣
87,50227,绿晶矿,3,天尊道袍
88,50228,绿晶矿,3,天师长袍
89,50232,绿晶矿,4,怒斩
90,50233,绿晶矿,4,龙牙
91,50234,绿晶矿,4,逍遥扇
92,50160,绿晶矿,4,天之圣战头盔
93,50161,绿晶矿,4,天之圣战项链
94,50163,绿晶矿,4,天之圣战手镯
95,50164,绿晶矿,4,天之圣战戒指
96,50165,绿晶矿,4,天之圣战腰带
97,50166,绿晶矿,4,天之圣战靴子
98,50162,绿晶矿,8,天之圣战勋章
99,50167,绿晶矿,4,天之法神头盔
100,50168,绿晶矿,4,天之法神项链
101,50170,绿晶矿,4,天之法神手镯
102,50171,绿晶矿,4,天之法神戒指
103,50172,绿晶矿,4,天之法神腰带
104,50173,绿晶矿,4,天之法神靴子
105,50169,绿晶矿,8,天之法神勋章
106,50174,绿晶矿,4,天之天尊头盔
107,50175,绿晶矿,4,天之天尊项链
108,50177,绿晶矿,4,天之天尊手镯
109,50178,绿晶矿,4,天之天尊戒指
110,50179,绿晶矿,4,天之天尊腰带
111,50180,绿晶矿,4,天之天尊靴子
112,50176,绿晶矿,8,天之天尊勋章
113,50531,绿晶矿,5,钢盔甲(男)
114,50532,绿晶矿,5,钢盔甲(女)
115,50533,绿晶矿,5,圣龙魔袍(男)
116,50534,绿晶矿,5,圣龙魔袍(女)
117,50535,绿晶矿,5,泰坦战衣(男)
118,50536,绿晶矿,5,泰坦战衣(女)
119,50235,绿晶矿,5,屠龙
120,50236,绿晶矿,5,嗜魂法杖
121,50237,绿晶矿,5,倚天剑
122,50181,绿晶矿,5,雷霆盔
123,50182,绿晶矿,5,雷霆项链
124,50184,绿晶矿,5,雷霆护腕
125,50185,绿晶矿,5,雷霆战戒
126,50186,绿晶矿,5,雷霆腰带
127,50187,绿晶矿,5,雷霆战靴
128,50183,绿晶矿,5,雷霆勋章
129,50188,绿晶矿,5,烈焰盔
130,50189,绿晶矿,5,烈焰项链
131,50191,绿晶矿,5,烈焰护腕
132,50192,绿晶矿,5,烈焰魔戒
133,50193,绿晶矿,5,烈焰腰带
134,50194,绿晶矿,5,烈焰魔靴
135,50190,绿晶矿,10,烈焰勋章
136,50195,绿晶矿,5,光芒盔
137,50196,绿晶矿,5,光芒项链
138,50198,绿晶矿,5,光芒护腕
139,50199,绿晶矿,5,光芒道戒
140,50200,绿晶矿,5,光芒腰带
141,50201,绿晶矿,5,光芒道靴
142,50197,绿晶矿,10,光芒勋章
143,50202,绿晶矿,6,强化雷霆盔
144,50203,绿晶矿,6,强化雷霆项链
145,50205,绿晶矿,6,强化雷霆护腕
146,50206,绿晶矿,6,强化雷霆战戒
147,50207,绿晶矿,6,强化雷霆腰带
148,50208,绿晶矿,6,强化雷霆战靴
149,50204,绿晶矿,12,强化雷霆勋章
150,50209,绿晶矿,6,强化烈焰盔
151,50210,绿晶矿,6,强化烈焰项链
152,50212,绿晶矿,6,强化烈焰护腕
