//,,,,,,,,,,,
//,1,2,3,4,5,6,7,8,9,10,11
idx,经验容量,精修卷轴,声望,天命神石,攻魔道,战士HP,战士MP,法师HP,法师MP,道士HP,道士MP
1,0,,,,,,,,,,
2,0,,,,,,,,,,
3,0,,,,,,,,,,
4,0,,,,,,,,,,
5,0,,,,,,,,,,
6,0,,,,,,,,,,
7,0,,,,,,,,,,
8,0,,,,,,,,,,
9,0,,,,,,,,,,
10,0,,,,,,,,,,
11,0,,,,,,,,,,
12,0,,,,,,,,,,
13,0,,,,,,,,,,
14,0,,,,,,,,,,
15,0,,,,,,,,,,
16,0,,,,,,,,,,
17,0,,,,,,,,,,
18,0,,,,,,,,,,
19,0,,,,,,,,,,
20,0,,,,,,,,,,
21,0,,,,,,,,,,
22,0,,,,,,,,,,
23,0,,,,,,,,,,
24,0,,,,,,,,,,
25,0,,,,,,,,,,
26,0,,,,,,,,,,
27,0,,,,,,,,,,
28,0,,,,,,,,,,
29,0,,,,,,,,,,
30,0,,,,,,,,,,
31,0,,,,,,,,,,
32,0,,,,,,,,,,
33,0,,,,,,,,,,
34,0,,,,,,,,,,
35,0,,,,,,,,,,
36,0,,,,,,,,,,
37,0,,,,,,,,,,
38,0,,,,,,,,,,
39,0,,,,,,,,,,
40,0,,,,,,,,,,
41,0,,,,,,,,,,
42,0,,,,,,,,,,
43,0,,,,,,,,,,
44,0,,,,,,,,,,
45,0,,,,,,,,,,
46,0,,,,,,,,,,
47,0,,,,,,,,,,
48,0,,,,,,,,,,
49,0,,,,,,,,,,
50,0,,,,,,,,,,
51,0,,,,,,,,,,
52,0,,,,,,,,,,
53,0,,,,,,,,,,
54,0,,,,,,,,,,
55,0,,,,,,,,,,
56,0,,,,,,,,,,
57,0,,,,,,,,,,
58,0,,,,,,,,,,
59,0,,,,,,,,,,
60,0,,,,,,,,,,
61,0,,,,,,,,,,
62,0,,,,,,,,,,
63,0,,,,,,,,,,
64,0,,,,,,,,,,
65,0,,,,,,,,,,
66,0,,,,,,,,,,
67,0,,,,,,,,,,
68,0,,,,,,,,,,
69,0,,,,,,,,,,
70,0,,,,,,,,,,
71,0,,,,,,,,,,
72,0,,,,,,,,,,
73,0,,,,,,,,,,
74,0,,,,,,,,,,
75,0,,,,,,,,,,
76,0,,,,,,,,,,
77,0,,,,,,,,,,
78,0,,,,,,,,,,
79,0,,,,,,,,,,
80,1009990000,500,500,5,,,,,,,
81,1009990000,1000,1000,10,3,130,5,35,100,80,60
82,1009990000,1500,1500,15,6,260,10,70,200,160,120
83,1009990000,2000,2000,20,9,390,15,105,300,240,180
84,1009990000,2500,2500,30,12,520,20,140,400,320,240
85,2009990000,3000,3000,40,15,650,25,175,500,400,300
86,2009990000,4000,4000,50,19,780,30,210,600,480,360
87,2009990000,5000,5000,60,21,910,35,245,700,560,420
88,2009990000,6000,6000,80,24,1040,40,280,800,640,480
89,2009990000,7000,7000,100,27,1170,45,315,900,720,540
90,,,,,30,1300,50,350,1000,800,600
