//,,,,,,,,,,,
//,1,2,3,4,5,6,7,8,9,10,11
//idx,需求材料1,材料1IDX,需求数量1,需求材料2,材料2IDX,需求数量2,消耗金币,增幅属性,显示几率,实际几率,保底次数
0,绿晶矿,10462,10,天外陨铁,10433,1,100000,1,100,100,0
1,绿晶矿,10462,30,天外陨铁,10433,2,300000,2,90,95,0
2,绿晶矿,10462,50,天外陨铁,10433,3,500000,3,90,90,0
3,绿晶矿,10462,80,天外陨铁,10433,4,700000,4,90,85,0
4,绿晶矿,10462,100,天外陨铁,10433,5,1000000,5,80,80,0
5,绿晶矿,10462,120,天外陨铁,10433,6,1300000,6,70,70,0
6,绿晶矿,10462,160,天外陨铁,10433,7,1600000,7,60,60,0
7,绿晶矿,10462,200,天外陨铁,10433,8,2000000,8,50,50,0
8,绿晶矿,10462,240,天外陨铁,10433,9,2500000,9,40,40,0
9,绿晶矿,10462,300,天外陨铁,10433,10,3000000,10,30,30,0
10,天外陨铁,10433,8,,,,,,,,
