///key,,,,,
///Filter,,,,,
//;序号,1,2,3,4,
合成排序,首饰名字,首饰分类,合成权重,,
1,绝影,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
2,赤兔,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
3,乌骓,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
4,草泥马,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
5,雪狼王,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
6,解豸,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
7,鬼鸟兽,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
8,大角羊,"绝影,赤兔,乌骓,草泥马,雪狼王,解豸,鬼鸟兽,大角羊",不死鸟#50|龙鹰#50|魅影虎#50|闪电豹#50|独角兽#50|火麒麟#50|霸下玄龟#50|幽影铁骑#50|幼龙#50,0,
9,不死鸟,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
10,龙鹰,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
11,魅影虎,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
12,闪电豹,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
13,独角兽,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
14,火麒麟,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
15,霸下玄龟,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
16,幽影铁骑,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
17,幼龙,"不死鸟,龙鹰,魅影虎,闪电豹,独角兽,火麒麟,霸下玄龟,幽影铁骑,幼龙",毕方#50|朱雀大帝#50|熔岩犀牛#50|白翼飞龙#50|三头狼#50|谛听#50|狻猊#50|九尾冰狐#50|冰原狼#50|九蛛兽#50,0,
18,毕方,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
19,朱雀大帝,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
20,熔岩犀牛,"毕方,朱雀大帝,熔岩犀牛,白翼飞龙,三头狼,谛听,狻猊,九尾冰狐,冰原狼,九蛛兽",鬼狮鹰#50|天马#50|赤烟驹#50|青鸾#50|鲲鹏#50|咕噜神象#50|嗜血飞龙#50|寒霜巨龙#50|上古火龙#50|青龙大帝#50|金甲象#50|飞天狮#50|白虎大帝#50|玄武大帝#50|勾陈#50|玉麒麟#50|双头魔龙#50|雷霄巨蝎#50|七彩兽#50|黄金宝马#50|穷奇#50,0,
