///key,,,,,,,,,,,,,,,,,,,,,
///Filter,,编号：10,,,编号：599,,,编号：888,,,编号：666,,,编号：833,,,编号：528,,,编号：588,
//;序号,1,,3,4,,6,7,,9,10,,12,13,,15,16,,18,19,,21
怪物名字,加成系数,地狱雷光,威力加成,加成系数,刺杀剑法,威力加成,加成系数,雷电术,威力加成,加成系数,冰咆哮，玄冰刃,威力加成,加成系数,疾光电影,威力加成,加成系数,火系技能,威力加成,加成系数,灵魂火符,威力加成
森林雪人,,24,,0,12,33,,11,,,33,,1,10,30,,26,,,13,
多角虫,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
羊,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
大漠苍狼王,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
虎王,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
食人花王,,24,,1,12,100,,11,,,33,,,10,,1,26,100,,13,
铁血神鹰,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
巨型多角虫,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
猎鹰,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
威思而小虫,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
洞蛆,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
血蝠王,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
蝎子王,1,24,20,0,12,33,,11,,,33,,,10,,,26,,,13,
骷髅精灵,0,24,40,0,12,33,0,11,50,,33,,,10,,,26,,0,13,20
蝎子精,1,24,20,0,12,33,,11,,,33,,,10,,,26,,,13,
蝙蝠王,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
蝎子,1,24,20,0,12,33,,11,,,33,,,10,,,26,,,13,
山洞蝙蝠0,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
山洞蝙蝠,1,24,90,,12,,,11,,,33,,,10,,,26,,,13,
半兽战士,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
半兽勇士,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
半兽勇士2,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
骷髅武士1,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅武士2,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅战将,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅5,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
骷髅战士,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅战士5,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
骷髅战将5,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
骷髅王,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
骷髅制造者,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
僵尸5,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
僵尸6,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
僵尸8,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸1,0,24,40,0,12,33,0,11,20,,33,,1,10,90,,26,,0,13,20
僵尸2,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
僵尸3,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
僵尸4,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
僵尸15,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸25,0,24,40,,12,,0,11,20,,33,,,10,,,26,,0,13,20
僵尸35,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸45,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸55,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸65,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
僵尸85,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
尸王,1,24,20,,12,,,11,,,33,,,10,,,26,,,13,
变异千年僵尸,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
万年尸王,,24,,,12,,,11,,,33,,,10,,,26,,,13,
憎恶电僵王,0,24,40,0,12,33,0,11,20,,33,,1,10,90,,26,,0,13,20
召魂使,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
钳虫,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
钳虫5,1,24,60,0,12,33,,11,,,33,,,10,,,26,,,13,
邪恶钳虫,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
蜈蚣,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
蜈蚣5,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
黑色恶蛆,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
巨型蠕虫,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
跳跳蜂,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
跳跳蜂5,1,24,20,0,12,33,,11,,,33,,,10,,,26,,,13,
黑色恶蛆5,1,24,90,0,12,33,,11,,,33,,,10,,,26,,,13,
巨型蠕虫5,,24,,,12,33,,11,,,33,,,10,,,26,,,13,
角蝇,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
红野猪,0,24,40,0,12,33,0,11,5,,33,,1,10,30,,26,,0,13,20
黑野猪,0,24,40,0,12,33,0,11,5,,33,,1,10,30,,26,,0,13,20
楔蛾,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
蝎蛇,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
白野猪,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
蝎蛇3,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
黑野猪3,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
红野猪3,0,24,40,0,12,33,0,11,5,,33,,1,10,30,,26,,0,13,20
沃玛勇士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
沃玛卫士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
沃玛战将,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
火焰沃玛,0,24,40,0,12,33,0,11,20,0,33,50,1,10,30,,26,,0,13,20
火焰沃玛5,0,24,40,0,12,33,0,11,20,0,33,50,,10,,,26,,0,13,20
沃玛勇士5,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
沃玛战士5,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
沃玛战士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
粪虫,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛弓箭手,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛卫士,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛雕像,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
大老鼠,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛卫士3,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛雕像3,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛弓箭手3,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛卫士长,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛神射手,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
祖玛教主亲卫,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
黄大仙,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
祖玛教主,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
米尔教皇,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
虹魔蝎卫,1,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
虹魔虎卫,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
封印魔兽,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
虹魔教主,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
昔日封魔霸主,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
虹魔猪卫,1,24,20,0,12,33,,11,,,33,,1,10,30,,26,,,13,
骷髅弓箭手,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
骷髅刀斧手,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
恶灵尸王,1,24,20,0,12,33,,11,,,33,,,10,,,26,,,13,
恶灵食尸鬼,0,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
恶灵僵尸,0,24,40,0,12,33,0,11,20,,33,,1,10,40,,26,,0,13,20
骷髅统帅,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
暗之骷髅统帅,0,24,40,0,12,33,0,11,20,,33,,,10,,,26,,0,13,20
黄泉教主,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
十殿阎罗王,,24,,0,12,33,,11,,,33,,1,10,30,,26,,,13,
牛头魔,0,24,90,0,12,33,,11,,,33,,1,10,30,,26,,,13,
牛魔斗士,1,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔战士,1,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔侍卫,1,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔法师,1,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔将军3,1,24,30,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔将军,1,24,40,0,12,33,0,11,20,,33,,1,10,30,,26,,0,13,20
牛魔祭司,1,24,40,0,12,33,0,11,20,0,33,150,1,10,30,,26,,0,13,20
牛魔王,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
暗之牛魔王,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
上古牛魔天神,,24,,0,12,33,,11,,,33,,,10,,,26,,,13,
暴牙蜘蛛,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
剧毒蜘蛛,1,24,40,0,12,33,0,11,10,1,33,25,1,10,40,,26,,0,13,20
月魔蜘蛛,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
花吻蜘蛛,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
天狼蜘蛛,1,24,90,0,12,33,,11,,1,33,25,1,10,40,,26,,,13,
花吻蜘蛛5,1,24,40,0,12,33,0,11,20,1,33,25,1,10,40,,26,,0,13,20
