//,,,,,,,,,,
//,1,2,3,4,5,6,7,8,9,10
idx,命格名称,对应颜色,对应素材,按下素材,坐标偏移x,电脑端tips,手机端tips,命格界面x,命格权重,对应变量
1,一马当先,156,100041,100042,12,{佩戴马类宝宝后可获得全/FCOLOR=255}^{属性(包含HP)4%加成/FCOLOR=255},佩戴马类宝宝后可获得全\属性(包含HP)4%加成,60,36,T100
2,暗夜幻影,156,100041,100042,12,{攻击时有5%概率进入隐身/FCOLOR=255}^{状态/FCOLOR=255},攻击时有5%概率进入隐身\状态,60,36,T100
3,时来运转,156,100041,100042,12,{使用祝福油成功获得幸运/FCOLOR=255}^{的几率增加35%/FCOLOR=255},使用祝福油成功获得幸运\的几率增加35%,60,36,T100
4,杀人狂魔,156,100041,100042,12,"{杀人后获得暴击率+3%,持/FCOLOR=255}^{续两个小时/FCOLOR=255}","杀人后获得暴击率+3%,持\续两个小时",60,36,T100
5,青云直上,156,100041,100042,12,{杀怪时额外获得20%的经/FCOLOR=255}^{验值/FCOLOR=255},杀怪时额外获得20%的经\验值,60,55,T100
6,德高望重,156,100041,100042,12,{每获得200声望，可增加1/FCOLOR=255}^{点攻魔道上限，最多可获/FCOLOR=255}^{得5点攻魔道上限/FCOLOR=255},每获得200声望，可增加1\点攻魔道上限，最多可获\得5点攻魔道上限,60,36,T100
7,乐善好施,156,100041,100042,12,{组队自身为队长时给队伍/FCOLOR=255}^{成员增加5-5双防/FCOLOR=255},组队自身为队长时给队伍\成员增加5-5双防,60,36,T100
8,死亡送葬,156,100041,100042,12,{被玩家杀害后，杀人者将/FCOLOR=255}^{损失自身15%的血量/FCOLOR=255},被玩家杀害后，杀人者将\损失自身15%的血量,60,36,T100
9,昼伏夜行,156,100041,100042,12,{在晚上19：00到5：00时/FCOLOR=255}^{全属性(不含HP)增加6-6/FCOLOR=255}^{在白天5：00到19：00时/FCOLOR=255}^{全属性(不含HP)减少3-3/FCOLOR=255},在晚上19：00到5：00时\全属性(不含HP)增加6-6\在白天5：00到19：00时\全属性(不含HP)减少3-3,60,36,T100
10,终极审判,156,100041,100042,12,{在攻击时有2%概率让目标/FCOLOR=255}^{无法跑步和施法，该状态/FCOLOR=255}^{持续5秒/FCOLOR=255},在攻击时有2%概率让目标\无法跑步和施法，该状态\持续5秒,60,55,T100
11,法外狂徒,156,100041,100042,12,{杀死玩家后不会增加PK值/FCOLOR=255},杀死玩家后不会增加PK值,60,36,T100
12,天纵奇才,156,100041,100042,12,{手持名家打造的兵器/FCOLOR=255}^{时，增加攻魔道双防属性/FCOLOR=255}^{8-8/FCOLOR=255},手持名家打造的兵器\时，增加攻魔道双防属性\8-8,60,36,T100
13,丹凤卸甲,156,100041,100042,12,{在攻击时有5%概率击碎目/FCOLOR=255}^{标的魔法护盾/FCOLOR=255},在攻击时有5%概率击碎目\标的魔法护盾,60,36,T100
14,日进斗金,156,100041,100042,12,{每天首次进入游戏时，随/FCOLOR=255}^{机获得8万-88万金币/FCOLOR=255},每天首次进入游戏时，随\机获得8万-88万金币,60,36,T100
15,指点迷津,156,100041,100042,12,{与名家NPC对话，可增加/FCOLOR=255}^{全属性(不含HP)1-1/FCOLOR=255}^{游戏内共有五位名家高人/FCOLOR=255},与名家NPC对话，可增加\全属性(不含HP)1-1\游戏内共有五位名家高人,60,55,T100
16,女中豪杰,156,100041,100042,12,{女性玩家打怪时增加5%的/FCOLOR=255}^{额外伤害/FCOLOR=255},女性玩家打怪时增加3%的\额外伤害,60,36,T100
17,比翼双飞,156,100041,100042,12,{可以在结婚后使用“@fuqi”/FCOLOR=255}^{命令，与妻子或丈夫进行/FCOLOR=255}^{夫妻传送。/FCOLOR=255}^{该命令每日仅限使用三次/FCOLOR=255},可以在结婚后使用“@fuqi”\命令，与妻子或丈夫进行\夫妻传送。\该命令每日仅限使用三次,60,36,T100
18,桃李天下,156,100041,100042,12,{收满三个徒弟且都出师后/FCOLOR=255}^{可获得：/FCOLOR=255}^{全属性(不含HP)5-5加成/FCOLOR=255},收满三个徒弟且都出师后\可获得：\全属性(不含HP)5-5加成,60,36,T100
19,替天行道,156,100041,100042,12,{对红名玩家造成25%的额/FCOLOR=255}^{外伤害/FCOLOR=255},对红名玩家造成25%的额\外伤害,60,36,T100
20,取之有道,253,100031,100032,12,{攻击畅玩玩家时，有1%概/FCOLOR=255}^{率盗取目标身上1%的金币/FCOLOR=255}^{最多单次可盗取100万。/FCOLOR=255}^{每天最多可偷1000W金币/FCOLOR=255},攻击畅玩玩家时，有1%概\率盗取目标身上1%的金币\最多单次可盗取100万。\每天最多可偷1000W金币,60,40,T101
21,弑神者,253,100031,100032,12,{对祖龙活动和世界Boss等/FCOLOR=255}^{怪物伤害提高100%/FCOLOR=255},对祖龙活动和世界Boss等\怪物伤害提高100%,60,90,T101
22,意外之财,253,100031,100032,20,{单件分解装备时，有20%/FCOLOR=255}^{概率获得双倍的分解收益/FCOLOR=255},单件分解装备时，有20%\概率获得双倍的分解收益,67,35,T101
23,药圣尊者,253,100031,100032,20,{可以制作苗疆蛊毒/FCOLOR=255},可以制作苗疆蛊毒,67,80,T101
24,烹饪大师,253,100031,100032,20,{可以制作大肉饼/FCOLOR=255},可以制作大肉饼,67,80,T101
25,巧夺天工,253,100031,100032,27,{可以制作20格的/FCOLOR=255}^{拓展包裹/FCOLOR=255},可以制作20格的拓展包裹,75,70,T101
26,铁匠传人,253,100031,100032,12,{升级武器时，失败破碎率/FCOLOR=255}^{将会降低33%/FCOLOR=255},升级武器时，失败破碎率\将会降低33%,60,80,T101
27,神之打野,253,100031,100032,20,{根据等级可对怪物造成额/FCOLOR=255}^{外伤害，自身等级为60级/FCOLOR=255}^{以下，可对怪物造成10%/FCOLOR=255}^{额外伤害，自身等级每提/FCOLOR=255}^{升1级可提高1%/FCOLOR=255},根据等级可对怪物造成额\外伤害，自身等级为60级\以下，可对怪物造成10%\额外伤害，自身等级每提\升1级可提高1%,67,20,T101
28,赏金猎人,253,100031,100032,20,{每次击杀怪物后可获得怪/FCOLOR=255}^{物血量1%数值的金币/FCOLOR=255},每次击杀怪物后可获得怪\物血量1%数值的金币,67,70,T101
29,酒中仙,253,100031,100032,20,{饮酒后可增加5%的额外生/FCOLOR=255}^{命值，持续60分钟/FCOLOR=255},饮酒后可增加5%的额外生\命值，持续60分钟,67,70,T101
30,妙手回春,253,100031,100032,27,{使用普通药品时，额外增/FCOLOR=255}^{加33%的回复效果/FCOLOR=255}^{使用特殊药品时有10%几/FCOLOR=255}^{率获得双倍效果/FCOLOR=255},使用普通药品时，额外增\加33%的回复效果\使用特殊药品时有10%几\率获得双倍效果,75,70,T101
31,草木之灵,253,100031,100032,27,{中毒恢复增加20%/FCOLOR=255},中毒恢复增加20%,60,30,T101
32,神魔之体,70,100021,100022,12,{减少10-10点攻魔道，增/FCOLOR=255}^{加25-25点双防/FCOLOR=255},减少10-10点攻魔道，增\加25-25点双防,60,55,T102
33,空间王者,70,100021,100022,20,{每拥有10格背包空间，可/FCOLOR=255}^{增加1点闪避(无上限)/FCOLOR=255},每拥有10格背包空间，可\增加1点闪避(无上限),67,40,T102
34,韧性十足,70,100021,100022,12,{韧性增加10%/FCOLOR=255},韧性增加10%,60,40,T102
35,天神赐福,70,100021,100022,12,{HP上限增加10%/FCOLOR=255},HP上限增加10%,60,40,T102
36,绝处逢生,70,100021,100022,12,{血量低于20%时，将会进/FCOLOR=255}^{入无敌状态/FCOLOR=255}^{持续时间2秒，冷却30秒/FCOLOR=255},血量低于20%时，将会进\入无敌状态\持续时间2秒，冷却30秒,60,40,T102
37,战神之怒,70,100021,100022,12,{被攻击时，攻击者将会有/FCOLOR=255}^{2%概率被战神之怒所震/FCOLOR=255}^{慑，陷入眩晕，持续3秒/FCOLOR=255},被攻击时，攻击者将会有\2%概率被战神之怒所震\慑，陷入眩晕，持续3秒,60,40,T102
38,凤凰涅槃,70,100021,100022,20,{被杀死时有20%概率复活/FCOLOR=255}^{复活后血量为20%无冷却/FCOLOR=255},被杀死时有20%概率复活\复活后血量为20%无冷却,67,40,T102
39,不灭金身,70,100021,100022,12,{被攻击时，有1%的概率/FCOLOR=255}^{进入无敌状态，持续3秒/FCOLOR=255},被攻击时，有1%的概率\进入无敌状态，持续3秒,60,40,T102
40,与日俱进,70,100021,100022,12,"{服务器每开放1天,可额外/FCOLOR=255}^{增加1点物理防御,最多增/FCOLOR=255}^{加上限为36点/FCOLOR=255}","服务器每开放1天,可额外\增加1点物理防御,最多增\加上限为36点",60,40,T102
41,柳暗花明,70,100021,100022,12,{血量低于20%时/FCOLOR=255}^{将会立刻回复20%/FCOLOR=255}^{的血量/FCOLOR=255}^{冷却时间30秒/FCOLOR=255},"血量低于20%时,将会立刻\回复20%的血量,冷却30秒",60,40,T102
42,万人敬仰,70,100021,100022,12,{魅力值大于1万时，被暴/FCOLOR=255}^{击的概率降低20%/FCOLOR=255},魅力值大于1万时，被暴\击的概率降低20%,60,40,T102
43,唤龙术,70,100011,100012,20,{宝宝伤害、移动速度+8%/FCOLOR=255}^{御灵召唤青龙概率大幅度/FCOLOR=255}^{提升/FCOLOR=255},宝宝伤害、移动速度+8%\御灵召唤青龙概率大幅度\提升,67,40,T102
44,恶贯满盈,70,100021,100022,12,{每增加1点诅咒，可提升/FCOLOR=255}^{自身1点攻、魔、道下限/FCOLOR=255},每增加1点诅咒，可提升\自身1点攻、魔、道下限,60,55,T102
45,老当益壮,249,100011,100012,12,{人物65级~85级，每提高/FCOLOR=255}^{1级增加攻道魔1-1/FCOLOR=255},人物65级~85级，每提高\1级增加攻道魔1-1,60,10,T103
46,天生神力,249,100011,100012,12,{增加10%额外伤害/FCOLOR=255},增加10%额外伤害,60,10,T103
