///key,,,,,,,,,,,
///Filter,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11
技能排序,所需职业,所需等级,所需书页,变量记录,选中X坐标,选中Y坐标,职业标示,背景,书页提示,技能名字,精修完成
1,Warrior,0,0,U50,361,89,1,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=战将·基本剑术>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
2,Warrior,30,50,U51,361,154,1,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=战将·刺杀剑术>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
3,Warrior,35,150,U52,361,219,1,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=战将·野蛮冲撞>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
4,Warrior,40,700,U53,361,284,1,<Img|x=419.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=战将·烈火剑法>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
5,Warrior,45,1800,U54,361,349,1,<Img|x=420.0|y=375.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=375.0|color=255|size=16|text=1800>,<Text|x=420.0|y=348.0|color=11037|size=18|text=战将·龙啸功>,<Text|x=424.0|y=375.0|color=11025|size=16|text=已精修>
6,Warrior,50,3200,U55,361,414,1,<Img|x=420.0|y=440.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=440.0|color=255|size=16|text=3200>,<Text|x=420.0|y=413.0|color=11037|size=18|text=战将·开天斩>,<Text|x=424.0|y=440.0|color=11025|size=16|text=已精修>
7,Warrior,0,0,U50,361,89,2,<Img|x=420.0|y=115.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=440.0|y=115.0|color=255|size=16|text=0>,<Text|x=420.0|y=88.0|color=11037|size=16|text=武宗·基本剑术>,<Text|x=424.0|y=115.0|color=11025|size=16|text=已精修>
8,Warrior,30,50,U56,361,154,2,<Img|x=420.0|y=180.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=436.0|y=180.0|color=255|size=16|text=50>,<Text|x=420.0|y=153.0|color=11037|size=18|text=武宗·回血精通>,<Text|x=424.0|y=180.0|color=11025|size=16|text=已精修>
9,Warrior,35,150,U57,361,219,2,<Img|x=420.0|y=245.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=431.0|y=245.0|color=255|size=16|text=150>,<Text|x=420.0|y=218.0|color=11037|size=18|text=武宗·寒冰真气>,<Text|x=424.0|y=245.0|color=11025|size=16|text=已精修>
10,Warrior,40,700,U58,361,284,2,<Img|x=419.0|y=310.0|width=50|height=20|scale9r=2|scale9t=2|esc=0|img=private/mp/4005400032.png|scale9b=2|scale9l=2>,<Text|x=427.0|y=310.0|color=255|size=16|text=700>,<Text|x=420.0|y=283.0|color=11037|size=18|text=武宗·防御精通>,<Text|x=424.0|y=310.0|color=11025|size=16|text=已精修>
