///key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38
佩饰排序,佩饰名字,佩饰等级,副属性数量,主属性经验,副属性1经验,副属性2经验,副属性3经验,副属性4经验,副属性5经验,总经验,出生属性数量,出生属性ID,出生属性ID2,显示属性ID,出生属性值1,出生属性值2,随机副属性权重,主属性失败,主属性升华,主属性完美,副属性1失败,副属性1升华,副属性2完美,副属性2失败,副属性2升华,副属性2完美,副属性3失败,副属性3升华,副属性3完美,副属性4失败,副属性4升华,副属性4完美,副属性5失败,副属性5升华,副属性5完美,战士额外属性权重,法师额外属性权重,道士额外属性权重
1,源泉·天魔琴,1,1,0,100000,0,0,0,0,100000,1,1,0,21,10,0,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
2,怒刃·撼地锤,1,1,0,100000,0,0,0,0,100000,2,3,4,24,1,1,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
3,玄奥·玉如意,1,1,0,100000,0,0,0,0,100000,2,5,6,25,1,1,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
4,阴阳·无尘佛,1,1,0,100000,0,0,0,0,100000,2,7,8,26,1,1,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
5,锋刃·碧血钗,1,1,0,100000,0,0,0,0,100000,2,9,10,22,1,1,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
6,破法·鬼元盾,1,1,0,100000,0,0,0,0,100000,2,11,12,23,1,1,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
7,源泉·混天绫,2,2,0,200000,600000,0,0,0,600000,1,1,0,21,20,0,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
8,怒刃·弑神枪,2,2,0,200000,600000,0,0,0,600000,2,3,4,24,1,2,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
9,玄奥·轮回盘,2,2,0,200000,600000,0,0,0,600000,2,5,6,25,1,2,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
10,阴阳·和氏璧,2,2,0,200000,600000,0,0,0,600000,2,7,8,26,1,2,生命值#50|物理攻击#50|魔法攻击#50|道术攻击#50|物理防御#50|魔法防御#50|敏捷#50|准确#50|吸血#50|物理反弹#50|魔法反弹#50|忽视防御#50|魔伤减免#50|物理减免#50,40,40,20,40,40,20,40,40,20,0,0,0,0,0,0,0,0,0,暴击几率#50|暴击伤害#50|攻击百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|烈火伤害#50|对怪增伤#50|韧性#50|攻击速度#50,暴击几率#50|暴击伤害#50|魔法百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|雷电伤害#50|冰咆哮伤害#50|火雨伤害#50|对怪增伤#50|韧性#50,暴击几率#50|暴击伤害#50|道术百分比#50|物防百分比#50|魔防百分比#50|HP上限#50|忽视防御#50|火符伤害#50|对怪增伤#50|韧性#50
