///key,,,,,,,,,,
///Filter,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10
属性排序,属性名字,是否多属性,假属性ID,实际属性ID,显示属性ID,1级属性值,2级属性值,3级属性值,4级属性值,是否百分比
1,生命值,0,200,1,1,10,20,30,50,0
2,物理攻击,1,205|206,3|4,4,1|1,1|2,1|3,2|5,0
3,魔法攻击,1,207|208,5|6,5,1|1,1|2,1|3,2|5,0
4,道术攻击,1,209|210,7|8,6,1|1,1|2,1|3,2|5,0
5,物理防御,1,201|202,9|10,2,1|1,1|2,1|3,2|5,0
6,魔法防御,1,203|204,11|12,3,1|1,1|2,1|3,2|5,0
7,敏捷,0,211,14,7,1,2,3,5,0
8,准确,0,212,13,8,1,2,3,5,0
9,吸血,0,213,213,9,1,2,3,5,0
10,物理反弹,0,219,219,10,1,2,3,5,0
11,魔法反弹,0,220,220,11,1,2,3,5,0
12,忽视防御,0,221,221,12,1,2,3,5,0
13,物理减免,0,222,222,13,1,2,3,5,0
14,魔伤减免,0,223,223,14,1,2,3,5,0
