///key,,,,,,,,,,,
///Filter,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11
属性排序,属性名字,是否多属性,假属性ID,实际属性ID,显示属性ID,1级属性值,2级属性值,3级属性值,4级属性值,是否百分比,是否记录键值
1,暴击几率,0,21,21,100,1,2,5,10,1,0
2,暴击伤害,0,22,22,101,1,2,5,10,1,0
3,攻击百分比,0,35,35,102,100,200,500,1000,1,0
4,魔法百分比,0,35,35,103,100,200,500,1000,1,0
5,道术百分比,0,35,35,104,100,200,500,1000,1,0
6,物防百分比,0,36,36,105,100,200,500,1000,1,0
7,魔防百分比,0,37,37,106,100,200,500,1000,1,0
8,HP上限,0,89,89,107,100,200,500,1000,1,0
9,魔法闪避,0,15,15,108,1,1,1,1,0,0
10,忽视防御,0,28,28,109,1,2,5,10,1,0
11,雷电伤害,0,248,248,110,1,2,5,10,1,4
12,烈火伤害,0,248,248,111,1,2,5,10,1,2
13,冰咆哮伤害,0,248,248,112,1,2,5,15,1,3
14,火符伤害,0,248,248,113,1,2,5,10,1,6
15,火雨伤害,0,248,248,114,1,2,5,10,1,12
16,暴击韧性,0,23,23,115,1,2,5,20,1,0
17,攻击速度,0,20,20,116,1,5,10,20,0,0
18,攻击蛛网,0,239,239,166,1,2,5,5,1,0
19,攻击禁锢,0,236,236,119,1,1,5,5,1,0
20,攻击冰冻,0,237,237,120,1,1,5,5,1,0
21,攻击麻痹,0,238,238,121,1,1,5,5,1,0
22,韧性,0,226,226,118,1,3,8,15,1,0
23,对怪增伤,0,75,75,99,100,300,800,1000,1,0
24,1级攻击速度,0,20,20,116,0,0,0,5,0,0
25,2级攻击速度,0,20,20,116,0,0,0,10,0,0
26,1级魔法闪避,0,15,15,108,0,0,0,1,0,0
27,2级魔法闪避,0,15,15,108,0,0,0,2,0,0
28,1级忽视防御,0,28,28,109,0,0,0,10,1,0
29,2级忽视防御,0,28,28,109,0,0,0,20,1,0
30,1级伤害反弹,0,29,29,148,0,0,0,10,1,0
31,2级伤害反弹,0,29,29,148,0,0,0,15,1,0
32,1级韧性,0,226,226,118,0,0,0,15,1,0
33,2级韧性,0,226,226,118,0,0,0,20,1,0
34,1级HP上限,0,89,89,107,0,0,0,1000,1,0
35,2级HP上限,0,89,89,107,0,0,0,1500,1,0
36,1级闪避烈火,0,235,235,117,0,0,0,10,1,0
37,2级闪避烈火,0,235,235,117,0,0,0,30,1,0
38,1级对怪增伤,0,75,75,99,0,0,0,1000,1,0
39,2级对怪增伤,0,75,75,99,0,0,0,1500,1,0
40,1级刺杀减免,0,87,87,150,0,0,0,1000,1,0
41,2级刺杀减免,0,87,87,150,0,0,0,1500,1,0
42,1级烈火减免,0,86,86,151,0,0,0,1000,1,0
43,2级烈火减免,0,86,86,151,0,0,0,1500,1,0
44,受怪减伤,0,82,82,149,0,0,0,1000,1,0
45,破防抵抗,0,85,85,152,0,0,0,1000,1,0
46,目标爆率,0,32,32,165,0,0,0,10,1,0
47,PK减伤,0,77,77,153,0,0,0,1000,1,0
48,吸血抵抗,0,84,84,154,0,0,0,1000,1,0
49,中毒恢复,0,17,17,155,0,0,0,3,0,0
50,毒物躲避,0,16,16,156,0,0,0,3,0,0
51,魔法伤害减免,0,27,27,158,0,0,0,10,1,0
52,物理伤害减免,0,26,26,157,0,0,0,10,1,0
53,刺杀伤害,0,248,248,147,0,0,0,10,1,1
54,1级冰咆伤害,0,248,248,112,0,0,0,10,1,3
55,2级冰咆伤害,0,248,248,112,0,0,0,15,1,3
56,1级雷电伤害,0,248,248,110,0,0,0,10,1,4
57,2级雷电伤害,0,248,248,110,0,0,0,15,1,4
58,1级火墙伤害,0,248,248,159,0,0,0,10,1,5
59,2级火墙伤害,0,248,248,159,0,0,0,15,1,5
60,火符减免,0,248,248,160,0,0,0,10,1,7
61,火墙减免,0,248,248,161,0,0,0,20,1,8
62,1级雷电减免,0,248,248,162,0,0,0,10,1,9
63,2级雷电减免,0,248,248,162,0,0,0,15,1,9
64,1级火雨减免,0,248,248,163,0,0,0,10,1,10
65,2级火雨减免,0,248,248,163,0,0,0,15,1,10
66,1级群雷减免,0,248,248,164,0,0,0,10,1,11
67,2级群雷减免,0,248,248,164,0,0,0,15,1,11
68,1级火符伤害,0,248,248,113,0,0,0,10,1,6
69,2级火符伤害,0,248,248,113,0,0,0,20,1,6
