///key,,,,,,,,,
///Filter,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9
属性排序,属性名字,是否多属性,属性状态,是否百分比,对应属性表,符号,颜色,等级判断,
1,生命值,0,(未激活),,200,+,231,0,0
2,物防,1,(未激活),,201|202,,231,0,0
3,魔防,1,(未激活),,203|204,,231,0,0
4,攻击,1,(未激活),,205|206,,231,0,0
5,魔法,1,(未激活),,207|208,,231,0,0
6,道术,1,(未激活),,209|210,,231,0,0
7,敏捷,0,(未激活),,211,+,231,0,0
8,准确,0,(未激活),,212,+,231,0,0
9,吸血,0,(未激活),,213,+,231,0,0
10,物理反弹,0,(未激活),,219,+,231,0,0
11,魔法反弹,0,(未激活),,220,+,231,0,0
12,忽视防御,0,(未激活),,221,+,231,0,0
13,物理减免,0,(未激活),,222,+,231,0,0
14,魔伤减免,0,(未激活),,223,+,231,0,0
15,空,0,,,,,,,0
16,空,0,,,,,,,0
17,空,0,,,,,,,0
18,空,0,,,,,,,0
19,空,0,,,,,,,0
20,空,0,,,,,,,0
21,生命值,0,,,1,+,255,1,0
22,物防,1,,,9|10,,255,1,0
23,魔防,1,,,11|12,,255,1,0
24,攻击,1,,,3|4,,255,1,0
25,魔法,1,,,5|6,,255,1,0
26,道术,1,,,7|8,,255,1,0
27,敏捷,0,,,14,+,255,1,0
28,准确,0,,,13,+,255,1,0
29,吸血,0,,,213,+,255,1,0
30,物理反弹,0,,,214,+,255,1,0
31,魔法反弹,0,,,215,+,255,1,0
32,忽视防御,0,,,78,+,255,1,0
33,物理减免,0,,,217,+,255,1,0
34,魔伤减免,0,,,218,+,255,1,0
35,空,0,,,,,,,0
36,空,0,,,,,,,0
37,空,0,,,,,,,0
38,空,0,,,,,,,0
39,空,0,,,,,,,0
40,空,0,,,,,,,0
41,生命值,0,(失败),,1,+,248,2,0
42,物防,1,(失败),,9|10,,248,2,0
43,魔防,1,(失败),,11|12,,248,2,0
44,攻击,1,(失败),,3|4,,248,2,0
45,魔法,1,(失败),,5|6,,248,2,0
46,道术,1,(失败),,7|8,,248,2,0
47,敏捷,0,(失败),,14,+,248,2,0
48,准确,0,(失败),,13,+,248,2,0
49,吸血,0,(失败),,213,+,248,2,0
50,物理反弹,0,(失败),,214,+,248,2,0
51,魔法反弹,0,(失败),,215,+,248,2,0
52,忽视防御,0,(失败),,78,+,248,2,0
53,物理减免,0,(失败),,217,+,248,2,0
54,魔伤减免,0,(失败),,218,+,248,2,0
55,空,0,,,,,,,0
56,空,0,,,,,,,0
57,空,0,,,,,,,0
58,空,0,,,,,,,0
59,空,0,,,,,,,0
60,空,0,,,,,,,0
61,生命值,0,(升华),,1,+,250,3,0
62,物防,1,(升华),,9|10,,250,3,0
63,魔防,1,(升华),,11|12,,250,3,0
64,攻击,1,(升华),,3|4,,250,3,0
65,魔法,1,(升华),,5|6,,250,3,0
66,道术,1,(升华),,7|8,,250,3,0
67,敏捷,0,(升华),,14,+,250,3,0
68,准确,0,(升华),,13,+,250,3,0
69,吸血,0,(升华),,213,+,250,3,0
70,物理反弹,0,(升华),,214,+,250,3,0
71,魔法反弹,0,(升华),,215,+,250,3,0
72,忽视防御,0,(升华),,78,+,250,3,0
73,物理减免,0,(升华),,217,+,250,3,0
74,魔伤减免,0,(升华),,218,+,250,3,0
75,空,0,,,,,,,0
76,空,0,,,,,,,0
77,空,0,,,,,,,0
78,空,0,,,,,,,0
79,空,0,,,,,,,0
80,空,0,,,,,,,0
81,生命值,0,(完美),,1,+,243,4,0
82,物防,1,(完美),,9|10,,243,4,0
83,魔防,1,(完美),,11|12,,243,4,0
84,攻击,1,(完美),,3|4,,243,4,0
85,魔法,1,(完美),,5|6,,243,4,0
86,道术,1,(完美),,7|8,,243,4,0
87,敏捷,0,(完美),,14,+,243,4,0
88,准确,0,(完美),,13,+,243,4,0
89,吸血,0,(完美),,213,+,243,4,0
90,物理反弹,0,(完美),,214,+,243,4,0
91,魔法反弹,0,(完美),,215,+,243,4,0
92,忽视防御,0,(完美),,78,+,243,4,0
93,物理减免,0,(完美),,217,+,243,4,0
94,魔伤减免,0,(完美),,218,+,243,4,0
95,空,0,,,,,,,0
96,空,0,,,,,,,0
97,空,0,,,,,,,0
98,空,0,,,,,,,0
99,对怪增伤,0,,%,75,+,58,,8
100,暴击几率,0,,%,21,+,58,,8
101,暴击伤害,0,,%,22,+,58,,8
102,攻击百分比,0,,%,35,+,58,,8
103,魔法百分比,0,,%,35,+,58,,8
104,道术百分比,0,,%,35,+,58,,8
105,物防百分比,0,,%,36,+,58,,8
106,魔防百分比,0,,%,37,+,58,,8
107,HP上限,0,,%,89,+,58,,8
108,魔法闪避,0,,%,15,+,58,,9
109,忽视防御,0,,%,28,+,58,,8
110,雷电伤害,0,,%,248,+,58,,8
111,烈火伤害,0,,%,248,+,58,,8
112,冰咆哮伤害,0,,%,248,+,58,,8
113,火符伤害,0,,%,248,+,58,,8
114,火雨伤害,0,,%,248,+,58,,8
115,暴击韧性,0,,%,23,+,58,,8
116,攻击速度,0,,%,20,+,58,,8
117,烈火闪避,0,,%,235,+,58,,8
118,韧性,0,,%,226,+,58,,8
119,攻击时概率禁锢敌人3秒,0,,,236,,58,,10
120,攻击时概率冰冻敌人3秒,0,,,237,,58,,10
121,攻击时概率麻痹敌人3秒,0,,,238,,58,,10
122,空,0,,,,,,,0
123,空,0,,,,,,,0
124,空,0,,,,,,,0
125,空,0,,,,,,,0
126,空,0,,,,,,,0
127,空,0,,,,,,,0
128,空,0,,,,,,,0
129,空,0,,,,,,,0
130,空,0,,,,,,,0
131,空,0,,,,,,,0
132,空,0,,,,,,,0
133,空,0,,,,,,,0
134,空,0,,,,,,,0
135,空,0,,,,,,,0
136,空,0,,,,,,,0
137,空,0,,,,,,,0
138,空,0,,,,,,,0
139,空,0,,,,,,,0
140,空,0,,,,,,,0
141,空,0,,,,,,,0
142,空,0,,,,,,,0
143,空,0,,,,,,,0
144,空,0,,,,,,,0
145,空,0,,,,,,,0
146,空,0,,,,,,,0
147,刺杀伤害,0,,%,248,+,58,,8
148,伤害反弹,0,,%,29,+,58,,8
149,受怪减伤,0,,%,82,+,58,,8
150,刺杀减免,0,,%,87,+,58,,8
151,烈火减免,0,,%,86,+,58,,8
152,破防抵抗,0,,%,85,+,58,,8
153,PK减伤,0,,%,77,+,58,,8
154,吸血抵抗,0,,%,84,+,58,,8
155,中毒恢复,0,,%,17,+,58,,9
156,毒物躲避,0,,%,16,+,58,,9
157,物理伤害减免,0,,%,27,+,58,,8
158,魔法伤害减免,0,,%,26,+,58,,8
159,火墙伤害,0,,%,248,+,58,,8
160,火符伤害减免,0,,%,248,+,58,,8
161,火墙伤害减免,0,,%,248,+,58,,8
162,雷电伤害减免,0,,%,248,+,58,,8
163,火雨伤害减免,0,,%,248,+,58,,8
164,群雷伤害减免,0,,%,248,+,58,,8
165,增加目标爆率,0,,%,32,+,58,,8
166,攻击时概率蛛网敌人3秒,0,,,239,,58,,10
