///key,
///Filter,
//;属性排序、,1
属性排序,属性权重
战士1号属性,目标爆率#110|物防百分比#110|魔防百分比#110|1级攻击速度#60|1级魔法闪避#110|1级忽视防御#110|暴击伤害#110|刺杀伤害#60|2级对怪增伤#110|1级韧性#110
战士2号属性,暴击几率#50|1级伤害反弹#50|受怪减伤#120|1级刺杀减免#110|1级烈火减免#60|火墙减免#120|1级火雨减免#110|1级群雷减免#110|火符减免#100|1级雷电减免#60|破防抵抗#110
战士3号属性,暴击韧性#80|2级魔法闪避#120|2级韧性#120|2级忽视防御#120|PK减伤#120|2级攻击速度#60|吸血抵抗#80|中毒恢复#100|毒物躲避#100|1级闪避烈火#100
战士4号属性,攻击百分比#130|1级HP上限#130|2级闪避烈火#130|烈火伤害#130|2级伤害反弹#130|攻击禁锢#80|攻击冰冻#80|攻击麻痹#80
法师1号属性,目标爆率#130|1级对怪增伤#130|物防百分比#130|魔防百分比#130|1级魔法闪避#120|1级忽视防御#120|暴击伤害#120|1级HP上限#120
法师2号属性,暴击几率#120|1级伤害反弹#120|1级韧性#130|暴击伤害#130|1级冰咆伤害#120|1级闪避烈火#120|受怪减伤#130|破防抵抗#130
法师3号属性,暴击韧性#80|2级魔法闪避#120|2级韧性#80|2级忽视防御#120|1级雷电伤害#80|1级火墙伤害#120|1级刺杀减免#80|1级烈火减免#80|中毒恢复#120|毒物躲避#120
法师4号属性,2级HP上限#125|魔法百分比#125|2级雷电伤害#125|2级冰咆伤害#125|2级火墙伤害#125|攻击禁锢#125|攻击冰冻#125|攻击麻痹#125
道士1号属性,目标爆率#110|物防百分比#110|魔防百分比#120|1级HP上限#110|1级魔法闪避#110|1级忽视防御#110|暴击伤害#110|1级韧性#110|PK减伤#110
道士2号属性,暴击几率#90|火墙减免#90|2级对怪增伤#100|1级韧性#90|暴击伤害#90|1级火雨减免#90|1级群雷减免#90|火符伤害#90|1级闪避烈火#90|2级韧性#90|2级群雷减免#90
道士3号属性,暴击韧性#90|2级伤害反弹#90|2级火雨减免#100|吸血抵抗#90|2级忽视防御#90|破防抵抗#90|魔法伤害减免#90|物理伤害减免#90|2级刺杀减免#90|2级烈火减免#90|2级雷电减免#90
道士4号属性,2级HP上限#125|道术百分比#125|火符伤害#125|攻击禁锢#125|攻击冰冻#125|攻击麻痹#125|攻击蛛网#125|2级闪避烈火#125
