//,1,2,3,4,5,6,7,8,9,10,11,12
Idx,1星数值,2星数值,3星数值,4星数值,5星数值,6星数值,7星数值,选择属性,绑定真表,绑定假表,是否百分比,满级附加
1,1,2,3,4,5,6,7,物防上限,10,-1,0,8
2,1,2,3,4,5,6,7,魔防上限,12,-1,0,8
3,1,2,3,4,5,6,7,物防百分比,10,-1,1,8
4,1,2,3,4,5,6,7,魔防百分比,12,-1,1,8
5,1,2,3,4,5,6,7,物攻下限,3,-1,0,8
6,1,2,3,4,5,6,7,物攻上限,4,-1,0,8
7,1,2,3,4,5,6,7,魔攻下限,5,-1,0,8
8,1,2,3,4,5,6,7,魔攻上限,6,-1,0,8
9,1,2,3,4,5,6,7,道术下限,7,-1,0,8
10,1,2,3,4,5,6,7,道术上限,8,-1,0,8
11,1,2,3,4,5,6,7,准确,13,-1,0,8
12,1,2,3,4,5,6,7,暴击率,21,-1,1,8
13,1,2,3,4,5,6,7,暴击韧性,23,115,1,8
14,1,2,3,4,5,6,7,攻击速度,20,116,0,8
15,1,2,3,4,5,6,7,生命百分比,1,-1,1,8
16,1,2,3,4,5,6,7,物伤减少,217,33,0,8
17,1,2,3,4,5,6,7,魔伤减少,218,34,0,8
18,1,2,3,4,5,6,7,忽视防御,78,32,0,8
19,100,200,300,400,500,600,700,吸血比例,34,-1,1,800
20,1,2,3,4,5,6,7,吸血点数,213,-1,0,8
21,1,2,3,4,5,6,7,生命值,1,-1,0,8
22,1,2,3,4,5,6,7,物伤减免百分比,26,-1,1,8
23,1,2,3,4,5,6,7,魔伤减免百分比,27,-1,1,8
