ver,怪物名称,血量,赏金
1,大漠苍狼王,3000,30
2,虎王,5000,50
3,食人花王,60000,600
4,铁血神鹰,1000,10
5,巨型多角虫,250,3
6,血蝠王,3200,32
7,蝎子王,5000,50
8,骷髅精灵,500,5
9,蝎子精,1100,11
10,蝙蝠王,1000,10
11,半兽勇士,300,3
12,半兽勇士2,300,3
13,兽人骑士统领,28000,280
14,骷髅将军,4000,40
15,精灵王,1200,12
16,骷髅武士1,105,1
17,骷髅武士2,105,1
18,骷髅战将,110,1
19,骷髅战士,105,1
20,骷髅战士5,105,1
21,骷髅战将5,110,1
22,骷髅王,42000,420
23,骷髅制造者,42000,420
24,僵尸5,170,2
25,僵尸6,170,2
26,僵尸8,170,2
27,僵尸1,155,2
28,僵尸2,155,2
29,僵尸3,175,2
30,僵尸4,155,2
31,僵尸15,155,2
32,僵尸25,155,2
33,僵尸35,155,2
34,僵尸45,155,2
35,僵尸55,155,2
36,僵尸65,155,2
37,僵尸85,155,2
38,尸王,500,5
39,变异千年僵尸,1500,15
40,万年尸王,5000,50
41,憎恶电僵王,45000,450
42,召魂使,49000,490
43,钳虫,320,3
44,钳虫5,275,3
45,邪恶钳虫,960,10
46,蜈蚣,275,3
47,蜈蚣5,280,3
48,黑色恶蛆,300,3
49,巨型蠕虫,240,2
50,跳跳蜂,240,2
51,跳跳蜂5,200,2
52,黑色恶蛆5,235,3
53,巨型蠕虫5,200,2
54,变异铁甲钳虫,1800,18
55,蜈蚣王,5000,50
56,触龙神,5000,50
57,虫族之王,56000,560
58,角蝇,300,3
59,红野猪,430,4
60,黑野猪,400,4
61,楔蛾,330,3
62,蝎蛇,430,4
63,白野猪,1050,11
64,蝎蛇3,650,7
65,黑野猪3,750,8
66,红野猪3,650,7
67,野猪统帅,2200,22
68,暗黑毒蛇,6000,60
69,暗之野猪统领,7000,70
70,獠牙野猪王,7000,70
71,暗之毒蛇王,42000,420
72,猪皇,63000,630
73,沃玛勇士,390,4
74,沃玛卫士,1050,11
75,沃玛战将,390,4
76,火焰沃玛,500,5
77,火焰沃玛5,475,5
78,沃玛勇士5,400,4
79,沃玛战士5,370,4
80,沃玛战士,355,4
81,粪虫,170,2
82,精锐沃玛卫士,2500,25
83,沃玛教主,8000,80
84,沃玛教皇,35000,350
85,魔化沃玛之翼,3500000,35000
86,祖玛弓箭手,590,6
87,祖玛卫士,800,8
88,祖玛雕像,800,8
89,大老鼠,590,6
90,祖玛卫士3,900,9
91,祖玛雕像3,800,8
92,祖玛弓箭手3,590,6
93,祖玛卫士长,3000,30
94,祖玛神射手,2690,27
95,祖玛教主亲卫,3000,30
96,黄大仙,9000,90
97,祖玛教主,9000,90
98,米尔教皇,70000,700
99,虹魔蝎卫,9000,90
100,虹魔猪卫,7500,75
101,昔日封魔霸主,100000,1000
102,虹魔虎卫,9000,90
103,封印魔兽,63000,630
104,虹魔教主,70000,700
105,骷髅弓箭手,700,7
106,骷髅刀斧手,915,9
107,骷髅刀兵,915,9
108,恶灵尸王,1040,10
109,恶灵食尸鬼,750,8
110,恶灵僵尸,800,8
111,骷髅统帅,2500,25
