///key,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
0,图鉴套装名,图鉴件数,图鉴装备1,图鉴装备2,图鉴装备3,图鉴装备4,图鉴装备5,图鉴装备6,图鉴装备7,图鉴装备8,图鉴变量1,图鉴变量2,图鉴变量3,图鉴变量4,图鉴变量5,图鉴变量6,图鉴变量7,图鉴变量8,图鉴装备IDX1,图鉴装备IDX2,图鉴装备IDX3,图鉴装备IDX4,图鉴装备IDX5,图鉴装备IDX6,图鉴装备IDX7,图鉴装备IDX8,激活金币,激活元宝,激活变量,图鉴属性,图鉴套装
1,沃玛首饰(战),3,幽灵项链,幽灵手套,龙之戒指,,,,,,1,2,3,,,,,,50110,50111,50112,,,,,,50000,,101,攻魔道：0-1,
2,沃玛首饰(法),3,生命项链,思贝儿手镯,红宝石戒指,,,,,,1,2,3,,,,,,50113,50114,50115,,,,,,50000,,102,双防：0-1,
3,沃玛首饰(道),3,天珠项链,心灵手镯,铂金戒指,,,,,,1,2,3,,,,,,50116,50117,50118,,,,,,50000,,103,HP+2,
4,祖玛首饰(战),4,黑铁头盔,绿色项链,骑士手镯,力量戒指,,,,,1,2,3,4,,,,,50122,50123,50124,50125,,,,,100000,,104,攻魔道：0-1,
5,祖玛首饰(法),3,恶魔铃铛,龙之手镯,紫碧螺,,,,,,1,2,3,,,,,,50126,50127,50128,,,,,,100000,,105,双防：1-1,
6,祖玛首饰(道),3,灵魂项链,三眼手镯,泰坦戒指,,,,,,1,2,3,,,,,,50129,50130,50131,,,,,,100000,,106,HP+3,
7,圣战套,6,圣战头盔,圣战项链,圣战手镯,圣战戒指,圣战腰带,圣战靴子,,,1,2,3,4,5,6,,,50139,50140,50142,50143,50144,50145,,,200000,,107,攻道魔：0-2,
8,法神套,6,法神头盔,法神项链,法神手镯,法神戒指,法神腰带,法神靴子,,,1,2,3,4,5,6,,,50146,50147,50149,50150,50151,50152,,,200000,,108,双防：0-2,
9,天尊套,6,天尊头盔,天尊项链,天尊手镯,天尊戒指,天尊腰带,天尊靴子,,,1,2,3,4,5,6,,,50153,50154,50156,50157,50158,50159,,,200000,,109,HP+5,
10,天之圣战套,6,天之圣战头盔,天之圣战项链,天之圣战手镯,天之圣战戒指,天之圣战腰带,天之圣战靴子,,,1,2,3,4,5,6,,,50160,50161,50163,50164,50165,50166,,,300000,,110,攻道魔：1-2,
11,天之法神套,6,天之法神头盔,天之法神项链,天之法神手镯,天之法神戒指,天之法神腰带,天之法神靴子,,,1,2,3,4,5,6,,,50167,50168,50170,50171,50172,50173,,,300000,,111,双防：1-2,
12,天之天尊套,6,天之天尊头盔,天之天尊项链,天之天尊手镯,天之天尊戒指,天之天尊腰带,天之天尊靴子,,,1,2,3,4,5,6,,,50174,50175,50177,50178,50179,50180,,,300000,,112,HP+8,
13,雷霆套,6,雷霆盔,雷霆项链,雷霆护腕,雷霆战戒,雷霆腰带,雷霆战靴,,,1,2,3,4,5,6,,,50181,50182,50184,50185,50186,50187,,,500000,,113,攻道魔：2-2,
14,烈焰套,6,烈焰盔,烈焰项链,烈焰护腕,烈焰魔戒,烈焰腰带,烈焰魔靴,,,1,2,3,4,5,6,,,50188,50189,50191,50192,50193,50194,,,500000,,114,双防：2-2,
15,光芒套,6,光芒盔,光芒项链,光芒护腕,光芒道戒,光芒腰带,光芒道靴,,,1,2,3,4,5,6,,,50195,50196,50198,50199,50200,50201,,,500000,,115,HP+10,
16,强化雷霆套,6,强化雷霆盔,强化雷霆项链,强化雷霆护腕,强化雷霆战戒,强化雷霆腰带,强化雷霆战靴,,,1,2,3,4,5,6,,,50202,50203,50205,50206,50207,50208,,,750000,,116,攻道魔：0-3,
17,强化烈焰套,6,强化烈焰盔,强化烈焰项链,强化烈焰护腕,强化烈焰魔戒,强化烈焰腰带,强化烈焰魔靴,,,1,2,3,4,5,6,,,50209,50210,50212,50213,50214,50215,,,750000,,117,双防：0-3,
18,强化光芒套,6,强化光芒盔,强化光芒项链,强化光芒护腕,强化光芒道戒,强化光芒腰带,强化光芒道靴,,,1,2,3,4,5,6,,,50216,50217,50219,50220,50221,50222,,,750000,,118,HP+12,
19,沃玛级兵器,3,井中月,魔杖,无极棍,,,,,,1,2,3,,,,,,50119,50120,50121,,,,,,1000000,,119,攻道魔：0-1,
20,祖玛级武器,3,裁决之杖,骨玉权杖,龙纹剑,,,,,,1,2,3,,,,,,50229,50230,50231,,,,,,1000000,,120,攻道魔：0-1,
21,赤月级武器,3,怒斩,龙牙,逍遥扇,,,,,,1,2,3,,,,,,50232,50233,50234,,,,,,1500000,,121,攻道魔：1-1,
22,魔龙级武器,3,屠龙,嗜魂法杖,倚天剑,,,,,,1,2,3,,,,,,50235,50236,50237,,,,,,3000000,,122,暴击+1%,
23,祖玛级衣服,6,战神盔甲(男),战神盔甲(女),恶魔长袍(男),恶魔长袍(女),幽灵战衣(男),幽灵战衣(女),,,1,2,3,4,5,6,,,50132,50133,50136,50137,50134,50135,,,2500000,,123,双防：0-1,
24,赤月级衣服,6,天魔神甲,圣战宝甲,法神披风,霓裳羽衣,天尊道袍,天师长袍,,,1,2,3,4,5,6,,,50223,50224,50225,50226,50227,50228,,,2500000,,124,双防：0-1,
25,神秘套,6,神秘头盔,神秘项链,神秘手镯,神秘戒指,神秘腰带,神秘靴子,,,1,2,3,4,5,6,,,50386,50387,50388,50389,50390,50391,,,3000000,,125,双防：0-1,
26,虹魔套,6,虹魔头盔,虹魔项链,虹魔手镯,虹魔戒指,虹魔腰带,虹魔靴子,,,1,2,3,4,5,6,,,50393,50394,50395,50396,50397,50398,,,3000000,,126,吸血+1,
27,魔血套,6,魔血头盔,魔血项链,魔血手镯,魔血戒指,魔血腰带,魔血靴子,,,1,2,3,4,5,6,,,50400,50401,50402,50403,50404,50405,,,3000000,,127,HP+3,
28,祈祷套,7,祈祷头盔,祈祷项链,祈祷手镯,祈祷戒指,祈祷腰带,祈祷靴子,祈祷之刃,,1,2,3,4,5,6,7,,50412,50413,50414,50415,50416,50417,50419,,3000000,,128,攻道魔上限+1%,
29,记忆套,4,记忆头盔,记忆项链,记忆手镯,记忆戒指,,,,,1,2,3,4,,,,,50407,50408,50409,50410,,,,,3000000,,129,攻道魔：0-1,
30,铜域套,6,铜域头盔,铜域项链,铜域手镯,铜域戒指,铜域腰带,铜域靴子,,,1,2,3,4,5,6,,,50420,50421,50422,50423,50424,50425,,,5000000,,130,吸血+1%,
31,木域套,6,木域头盔,木域项链,木域手镯,木域戒指,木域腰带,木域靴子,,,1,2,3,4,5,6,,,50427,50428,50429,50430,50431,50432,,,5000000,,131,HP+2%,
32,土域套,6,土域头盔,土域项链,土域手镯,土域戒指,土域腰带,土域靴子,,,1,2,3,4,5,6,,,50433,50434,50435,50436,50437,50438,,,5000000,,132,双防+3%,
33,金域套,6,金域头盔,金域项链,金域手镯,金域戒指,金域腰带,金域靴子,,,1,2,3,4,5,6,,,50439,50440,50441,50442,50443,50444,,,5000000,,133,忽视目标2点防御,
34,火域套,6,火域头盔,火域项链,火域手镯,火域戒指,火域腰带,火域靴子,,,1,2,3,4,5,6,,,50446,50447,50448,50449,50450,50451,,,5000000,,134,暴击+1%,
35,水域套,3,水域项链,水域手镯,水域戒指,,,,,,1,2,3,,,,,,50452,50453,50454,,,,,,5000000,,135,受到伤害减少2点,
36,风域套,3,风域项链,风域手镯,风域戒指,,,,,,1,2,3,,,,,,50455,50456,50457,,,,,,5000000,,136,攻击速度+2%,
37,藤域套,6,藤域头盔,藤域项链,藤域手镯,藤域戒指,藤域腰带,藤域靴子,,,1,2,3,4,5,6,,,50461,50462,50463,50464,50465,50466,,,5000000,,137,敏捷+1,
38,鬼域套,6,鬼域头盔,鬼域项链,鬼域手镯,鬼域戒指,鬼域腰带,鬼域靴子,,,1,2,3,4,5,6,,,50468,50469,50470,50471,50472,50473,,,5000000,,138,攻道魔下限+2%,
39,神域套,6,神域头盔,神域项链,神域手镯,神域戒指,神域腰带,神域靴子,,,1,2,3,4,5,6,,,50474,50475,50476,50477,50478,50479,,,5000000,,139,攻道魔上限+2%,
40,雷域套,3,雷域项链,雷域手镯,雷域戒指,,,,,,1,2,3,,,,,,50458,50459,50460,,,,,,10000000,,140,攻道魔0-3,
41,蝴蝶套,6,蝴蝶头盔,蝴蝶项链,蝴蝶手镯,蝴蝶戒指,蝴蝶腰带,蝴蝶靴子,,,1,2,3,4,5,6,,,50480,50481,50482,50483,50484,50485,,,10000000,,141,"每秒回1点HP,MP",
42,千虫套,6,千年虫盔,千年虫链,千年虫镯,千年虫指,千年虫带,千年虫靴,,,1,2,3,4,5,6,,,50486,50487,50488,50489,50490,50491,,,10000000,,142,受怪减伤+1%,
43,冰龙套,6,冰龙头盔,冰龙项链,冰龙手镯,冰龙戒指,冰龙腰带,冰龙靴子,,,1,2,3,4,5,6,,,50492,50493,50494,50495,50496,50497,,,10000000,,143,韧性+1%,
44,静寂套,5,静寂项链,静寂手镯,静寂戒指,静寂腰带,静寂之靴,,,,1,2,3,4,5,,,,50498,50499,50500,50501,50502,,,,10000000,,144,攻道魔双防1-1,
45,神灵套,5,神灵项链,神灵手镯,神灵戒指,神灵腰带,神灵靴子,,,,1,2,3,4,5,,,,50504,50505,50506,50507,50508,,,,10000000,,145,忽视暴击率+1%,
46,凤凰套,3,凤凰项链,凤凰手镯,凤凰戒指,,,,,,1,2,3,,,,,,50509,50510,50511,,,,,,10000000,,146,伤害减免1%,
47,蚩尤套,3,蚩尤护腕,蚩尤腰带,蚩尤靴子,,,,,,1,2,3,,,,,,50512,50513,50514,,,,,,10000000,,147,物防+3%,
48,星落套,5,星落摇光盔,星落摇光链,星落摇光镯,星落摇光戒,星落摇光靴,,,,1,2,3,4,5,,,,50515,50516,50517,50518,50519,,,,10000000,,148,烈火减免+3%,
49,乱世君临套,6,乱世君临头盔,乱世君临项链,乱世君临手镯,乱世君临戒指,乱世君临腰带,乱世君临靴子,,,1,2,3,4,5,6,,,50520,50521,50522,50523,50524,50525,,,10000000,,149,攻道魔：3-0,
50,宙斯套,2,宙斯手镯,宙斯之戒,,,,,,,1,2,,,,,,,50527,50528,,,,,,,10000000,,150,暴击伤害+1%,
51,龍炎套,2,龍炎手镯,龍炎戒指,,,,,,,1,2,,,,,,,50529,50530,,,,,,,10000000,,151,暴击+1%,
52,白虎套,6,白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,,,1,2,3,4,5,6,,,50238,50239,50240,50241,50242,50243,,,,1000,152,攻道魔：1-3,
53,朱雀套,6,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,,,1,2,3,4,5,6,,,50245,50246,50247,50248,50249,50250,,,,1000,153,双防：1-3,
54,青龙套,6,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴,,,1,2,3,4,5,6,,,50252,50253,50254,50255,50256,50257,,,,1000,154,HP+1%,
55,梵天套,6,梵天头盔,梵天项链,梵天手镯,梵天戒指,梵天腰带,梵天靴子,,,1,2,3,4,5,6,,,50259,50260,50261,50262,50263,50264,,,,2000,155,攻道魔：2-3,
56,帝释套,6,帝释头盔,帝释项链,帝释手镯,帝释戒指,帝释腰带,帝释靴子,,,1,2,3,4,5,6,,,50266,50267,50268,50269,50270,50271,,,,2000,156,双防：2-3,
57,天罡套,6,天罡头盔,天罡项链,天罡手镯,天罡戒指,天罡腰带,天罡靴子,,,1,2,3,4,5,6,,,50273,50274,50275,50276,50277,50278,,,,2000,157,HP+2%,
58,战神套,6,战神头盔,战神之链,战神之镯,战神之戒,战神腰带,战神之靴,,,1,2,3,4,5,6,,,50280,50281,50282,50283,50284,50285,,,,3000,158,攻道魔：3-3,
59,魔神套,6,魔神头盔,魔神项链,魔神手镯,魔神戒指,魔神腰带,魔神靴子,,,1,2,3,4,5,6,,,50287,50288,50289,50290,50291,50292,,,,3000,159,双防：3-3,
60,道神套,6,道神头盔,道神项链,道神手镯,道神戒指,道神腰带,道神靴子,,,1,2,3,4,5,6,,,50294,50295,50296,50297,50298,50299,,,,3000,160,HP+3%,
61,神驹图,7,绝影,赤兔,乌骓,天马,赤烟驹,幽影铁骑,黄金宝马,,1,2,3,4,5,6,7,,50693,50694,50695,50715,50716,50776,50780,,,,161,每收集一个增加1-1攻魔道,3%攻魔道
62,飞禽谱,7,不死鸟,龙鹰,毕方,朱雀大帝,青鸾,鲲鹏,鬼鸟兽,,1,2,3,4,5,6,7,,50699,50700,50706,50707,50717,50718,50774,,,,162,每收集一个增加1点闪避,受怪减伤+5%
63,走兽图,7,草泥马,雪狼王,魅影虎,闪电豹,熔岩犀牛,咕噜神象,大角羊,,1,2,3,4,5,6,7,,50696,50697,50701,50702,50708,50719,50775,,,,163,每收集一个增加1-1防御,5%双防
64,神龙鉴,6,白翼飞龙,嗜血飞龙,寒霜巨龙,上古火龙,青龙大帝,幼龙,,,1,2,3,4,5,6,,,50709,50720,50721,50722,50723,50777,,,,,164,每收集一个HP上限+2%,"攻击切割敌人最大生命1%,最多100点"
65,猛兽集,7,解豸,三头狼,金甲象,鬼狮鹰,飞天狮,白虎大帝,冰原狼,,1,2,3,4,5,6,7,,50698,50710,50724,50714,50725,50726,50778,,,,165,每收集一只增加1点吸血,吸血+10%
66,异兽录,6,谛听,狻猊,玄武大帝,勾陈,玉麒麟,双头魔龙,,,1,2,3,4,5,6,,,50711,50712,50727,50728,50729,50730,,,,,166,每收集一个增加1%暴击概率,暴击伤害+10%
67,灵兽录,8,独角兽,火麒麟,霸下玄龟,九尾冰狐,雷霄巨蝎,七彩兽,九蛛兽,穷奇,1,2,3,4,5,6,7,8,50703,50704,50705,50713,50731,50732,50779,50781,,,167,每收集一只韧性+1%,韧性+10%
