///key,,,,,,,,,,,,,,,,,,,,,
///Filter,,,,,,,,,,,,,,,,,,,,,
//;图鉴序号,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21
勋章排序,勋章分类,勋章子类,副材料数,所需声望,成功几率,所需材料1,所需材料2,所需材料3,所需材料4,所需材料5,所需材料6,所需材料7,勋章展示IDX,材料1IDX,材料2IDX,材料3IDX,材料4IDX,材料5IDX,材料6IDX,材料7IDX,成功率增加
1,荣誉级勋章,荣誉级勋章,,,,,,,,,,,,,,,,,,,
2,,1级荣誉勋章,0,10,100,,,,,,,,50759,,,,,,,,
3,,2级荣誉勋章,0,30,100,,,,,,,,50760,,,,,,,,
4,,3级荣誉勋章,0,50,100,,,,,,,,50761,,,,,,,,
5,,4级荣誉勋章,0,100,100,,,,,,,,50762,,,,,,,,
6,圣战级勋章,圣战级勋章,,,,,,,,,,,,,,,,,,,
7,,圣战勋章,6,200,100,圣战头盔,圣战项链,圣战手镯,圣战戒指,圣战腰带,圣战靴子,,50141,50139,50140,50142,50143,50144,50145,,
8,,法神勋章,6,200,100,法神头盔,法神项链,法神手镯,法神戒指,法神腰带,法神靴子,,50148,50146,50147,50149,50150,50151,50152,,
9,,天尊勋章,6,200,100,天尊头盔,天尊项链,天尊手镯,天尊戒指,天尊腰带,天尊靴子,,50155,50153,50154,50156,50157,50158,50159,,
10,天之圣战级勋章,天之圣战级勋章,,,,,,,,,,,,,,,,,,,
11,,天之圣战勋章,6,400,33,天之圣战头盔,天之圣战项链,天之圣战手镯,天之圣战戒指,天之圣战腰带,天之圣战靴子,,50162,50160,50161,50163,50164,50165,50166,,8
12,,天之法神勋章,6,400,33,天之法神头盔,天之法神项链,天之法神手镯,天之法神戒指,天之法神腰带,天之法神靴子,,50169,50167,50168,50170,50171,50172,50173,,8
13,,天之天尊勋章,6,400,33,天之天尊头盔,天之天尊项链,天之天尊手镯,天之天尊戒指,天之天尊腰带,天之天尊靴子,,50176,50174,50175,50177,50178,50179,50180,,8
14,魔龙级勋章,魔龙级勋章,,,,,,,,,,,,,,,,,,,
15,,雷霆勋章,6,600,33,雷霆盔,雷霆项链,雷霆护腕,雷霆战戒,雷霆腰带,雷霆战靴,,50183,50181,50182,50184,50185,50186,50187,,8
16,,烈焰勋章,6,600,33,烈焰盔,烈焰项链,烈焰护腕,烈焰魔戒,烈焰腰带,烈焰魔靴,,50190,50188,50189,50191,50192,50193,50194,,8
17,,光芒勋章,6,600,33,光芒盔,光芒项链,光芒护腕,光芒道戒,光芒腰带,光芒道靴,,50197,50195,50196,50198,50199,50200,50201,,8
18,强化魔龙级勋章,强化魔龙级勋章,,,,,,,,,,,,,,,,,,,
19,,强化雷霆勋章,6,800,33,强化雷霆盔,强化雷霆项链,强化雷霆护腕,强化雷霆战戒,强化雷霆腰带,强化雷霆战靴,,50204,50202,50203,50205,50206,50207,50208,,8
20,,强化烈焰勋章,6,800,33,强化烈焰盔,强化烈焰项链,强化烈焰护腕,强化烈焰魔戒,强化烈焰腰带,强化烈焰魔靴,,50211,50209,50210,50212,50213,50214,50215,,8
21,,强化光芒勋章,6,800,33,强化光芒盔,强化光芒项链,强化光芒护腕,强化光芒道戒,强化光芒腰带,强化光芒道靴,,50218,50216,50217,50219,50220,50221,50222,,8
22,特殊类勋章,特殊类勋章,,,,,,,,,,,,,,,,,,,
23,,神秘勋章,6,300,100,神秘头盔,神秘项链,神秘手镯,神秘戒指,神秘腰带,神秘靴子,,50392,50386,50387,50388,50389,50390,50391,,
24,,虹魔勋章,6,300,100,虹魔头盔,虹魔项链,虹魔手镯,虹魔戒指,虹魔腰带,虹魔靴子,,50399,50393,50394,50395,50396,50397,50398,,
25,,魔血勋章,6,300,100,魔血头盔,魔血项链,魔血手镯,魔血戒指,魔血腰带,魔血靴子,,50406,50400,50401,50402,50403,50404,50405,,
26,,记忆勋章,4,300,100,记忆头盔,记忆项链,记忆手镯,记忆戒指,,,,50411,50407,50408,50409,50410,,,,
27,,祈祷勋章,7,1000,33,祈祷头盔,祈祷项链,祈祷手镯,祈祷戒指,祈祷腰带,祈祷靴子,祈祷之刃,50418,50412,50413,50414,50415,50416,50417,50419,8
28,,铜域勋章,6,1000,33,铜域头盔,铜域项链,铜域手镯,铜域戒指,铜域腰带,铜域靴子,,50426,50420,50421,50422,50423,50424,50425,,8
29,,静寂勋章,5,1000,33,静寂项链,静寂手镯,静寂戒指,静寂腰带,静寂之靴,,,50503,50498,50499,50500,50501,50502,,,8
