//,,,,,
//,,,,,
idx,加货0经验,加货1经验,加货2经验,加货3经验,等级索引
1,200000,300000,380000,500000,50
2,220000,330000,420000,550000,51
3,240000,360000,460000,600000,52
4,260000,390000,500000,650000,53
5,280000,420000,540000,700000,54
6,300000,450000,580000,750000,55
7,320000,480000,620000,800000,56
8,340000,510000,680000,850000,57
9,360000,540000,720000,900000,58
10,380000,570000,760000,950000,59
11,400000,600000,800000,1000000,60
12,420000,630000,840000,1050000,61
13,440000,660000,880000,1100000,62
14,460000,690000,920000,1150000,63
15,480000,720000,960000,1200000,64
16,500000,750000,1000000,1250000,65
17,520000,780000,1040000,1300000,66
18,540000,810000,1080000,1350000,67
19,560000,840000,1120000,1400000,68
20,580000,870000,1160000,1450000,69
21,600000,900000,1200000,1500000,70
22,620000,930000,1240000,1550000,71
23,640000,960000,1280000,1600000,72
24,660000,990000,1320000,1650000,73
25,680000,1020000,1360000,1700000,74
26,700000,1050000,1400000,1750000,75
27,720000,1080000,1440000,1800000,76
28,740000,1110000,1480000,1850000,77
29,760000,1140000,1520000,1900000,78
30,780000,1170000,1560000,1950000,79
31,800000,1200000,1600000,2000000,80
32,820000,1230000,1640000,2050000,81
33,840000,1260000,1680000,2100000,82
34,860000,1290000,1720000,2150000,83
35,880000,1320000,1760000,2200000,84
36,900000,1350000,1800000,2250000,85
37,920000,1380000,1840000,2300000,86
38,940000,1410000,1880000,2350000,87
39,960000,1440000,1920000,2400000,88
40,980000,1470000,1960000,2450000,89
41,1000000,1500000,2000000,2500000,90
42,1020000,1530000,2040000,2550000,91
43,1040000,1560000,2080000,2600000,92
44,1060000,1590000,2120000,2650000,93
45,1080000,1620000,2160000,2700000,94
46,1100000,1650000,2200000,2750000,95
47,,,,,
48,,,,,
49,,,,,
50,,,,,
51,1,1,1,1,金币卷
52,1,2,3,5,精修卷轴
53,1,1,1,1,天外陨铁
54,1,1,1,1,紫薇星石
55,1,1,1,1,金币卷
56,1,1,1,1,绿晶矿
57,1,1,1,1,灵兽碎片
58,1,1,1,1,100万经验卷
59,1,2,3,5,精修卷轴
60,1,1,1,1,天外陨铁
61,1,2,3,5,精修卷轴
62,1,1,1,1,女娲石
63,1,1,1,1,金币卷
64,1,1,1,1,灵兽碎片
65,1,1,1,1,金条
66,1,1,1,1,金砖
67,5,10,15,25,精修卷轴
68,1,2,3,5,绿晶矿
69,2,2,3,3,天外陨铁
70,1,1,1,1,沃玛封印石
71,1,2,3,5,精修卷轴
72,1,1,1,1,天外陨铁
73,1,1,1,1,灵兽碎片
74,1,1,1,1,上古卷轴
