///key,,,,,,,
///Filter,,,,,,,
//;序号,1,2,3,4,5,6,7
合成排序,首饰名字,首饰分类,合成权重1,合成权重2-战士,合成权重2-法师,合成权重2-道士,合成权重3
1,白虎头盔,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔
2,白虎项链,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天项链
3,白虎手镯,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天手镯
4,白虎战戒,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天戒指
5,白虎腰带,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天腰带
6,白虎战靴,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天靴子
7,朱雀头盔,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,帝释头盔
8,朱雀项链,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,帝释项链
9,朱雀手镯,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,帝释手镯
10,朱雀法戒,"白虎头盔,白虎项链,白虎手镯,白虎战戒,白虎腰带,白虎战靴,朱雀头盔,朱雀项链,朱雀手镯,朱雀法戒,朱雀腰带,朱雀法靴,青龙头盔,青龙项链,青龙手镯,青龙道戒,青龙腰带,青龙道靴",梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50|帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50|天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,梵天头盔#50|梵天项链#50|梵天手镯#50|梵天戒指#50|梵天腰带#50|梵天靴子#50,帝释头盔#50|帝释项链#50|帝释手镯#50|帝释戒指#50|帝释腰带#50|帝释靴子#50,天罡头盔#50|天罡项链#50|天罡手镯#50|天罡戒指#50|天罡腰带#50|天罡靴子#50,帝释戒指
