///key,index,
///FiltersCS,,
///中文,经验,导表专用
///index,exp,xx
1,100,
2,200,
3,300,
4,400,
5,600,
6,900,
7,1200,
8,1700,
9,2500,
10,6000,
11,8000,
12,10000,
13,15000,
14,30000,
15,40000,
16,50000,
17,70000,
18,100000,
19,120000,
20,140000,
21,250000,
22,300000,
23,350000,
24,400000,
25,500000,
26,700000,
27,1000000,
28,1400000,
29,1800000,
30,2000000,
31,2400000,
32,2800000,
33,3200000,
34,3600000,
35,4000000,
36,4000000,
37,4000000,
38,4000000,
39,4000000,
40,4000000,
41,4000000,
42,4000000,
43,4000000,
44,4000000,
45,4000000,
46,4000000,
47,4000000,
48,4000000,
49,4000000,
50,4000000,
51,4000000,
52,4000000,
53,4000000,
54,4000000,
55,4000000,
56,4000000,
57,4000000,
58,4000000,
59,4000000,
60,4000000,
61,4000000,
62,4000000,
63,4000000,
64,4000000,
65,4000000,
66,4000000,
67,4000000,
68,4000000,
69,4000000,
70,4000000,
71,4000000,
72,4000000,
73,4000000,
74,4000000,
75,4000000,
76,4000000,
77,4000000,
78,4000000,
79,4000000,
80,90000000000,
81,90000000000,
82,90000000000,
83,90000000000,
84,90000000000,
85,90000000000,
86,90000000000,
87,90000000000,
88,90000000000,
89,90000000000,
90,90000000000,
91,90000000000,
92,90000000000,
93,90000000000,
94,90000000000,
95,90000000000,
96,90000000000,
97,90000000000,
98,90000000000,
99,90000000000,
100,90000000000,
101,90000000000,
102,90000000000,
103,90000000000,
104,90000000000,
105,90000000000,
106,90000000000,
107,90000000000,
108,90000000000,
109,90000000000,
110,90000000000,
111,90000000000,
112,90000000000,
113,90000000000,
114,90000000000,
115,90000000000,
116,90000000000,
117,90000000000,
118,90000000000,
119,90000000000,
120,90000000000,
121,90000000000,
122,90000000000,
123,90000000000,
124,90000000000,
125,90000000000,
126,90000000000,
127,90000000000,
128,90000000000,
129,90000000000,
130,90000000000,
131,90000000000,
132,90000000000,
133,90000000000,
134,90000000000,
135,90000000000,
136,90000000000,
137,90000000000,
138,90000000000,
139,90000000000,
140,90000000000,
141,90000000000,
142,90000000000,
143,90000000000,
144,90000000000,
145,90000000000,
146,90000000000,
147,90000000000,
148,90000000000,
149,90000000000,
150,90000000000,
151,90000000000,
152,90000000000,
153,90000000000,
154,90000000000,
155,90000000000,
156,90000000000,
157,90000000000,
158,90000000000,
159,90000000000,
160,90000000000,
161,90000000000,
162,90000000000,
163,90000000000,
164,90000000000,
165,90000000000,
166,90000000000,
167,90000000000,
168,90000000000,
169,90000000000,
170,90000000000,
171,90000000000,
172,90000000000,
173,90000000000,
174,90000000000,
175,90000000000,
176,90000000000,
177,90000000000,
178,90000000000,
179,90000000000,
180,90000000000,
181,90000000000,
182,90000000000,
183,90000000000,
184,90000000000,
185,90000000000,
186,90000000000,
187,90000000000,
188,90000000000,
189,90000000000,
190,90000000000,
191,90000000000,
192,90000000000,
193,90000000000,
194,90000000000,
195,90000000000,
196,90000000000,
197,90000000000,
198,90000000000,
199,90000000000,
200,90000000000,
201,90000000000,
202,90000000000,
203,90000000000,
204,90000000000,
205,90000000000,
206,90000000000,
207,90000000000,
208,90000000000,
209,90000000000,
210,90000000000,
211,90000000000,
212,90000000000,
213,90000000000,
214,90000000000,
215,90000000000,
216,90000000000,
217,90000000000,
218,90000000000,
219,90000000000,
220,90000000000,
221,90000000000,
222,90000000000,
223,90000000000,
224,90000000000,
225,90000000000,
226,90000000000,
227,90000000000,
228,90000000000,
229,90000000000,
230,90000000000,
231,90000000000,
232,90000000000,
233,90000000000,
234,90000000000,
235,90000000000,
236,90000000000,
237,90000000000,
238,90000000000,
239,90000000000,
240,90000000000,
241,90000000000,
242,90000000000,
243,90000000000,
244,90000000000,
245,90000000000,
246,90000000000,
247,90000000000,
248,90000000000,
249,90000000000,
250,90000000000,
251,90000000000,
