///key,index,,,
///FiltersCS,,,,
///中文,类型,描述,序号,抽卡对应需要
///index,type,desc,num,card
["3"],1,不可使用安全箱,,
["d601"],2,第一活动地图,1,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|
["d602"],2,第一活动地图,2,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|
["d604"],2,第一活动地图,3,1|2|3|4|5|6|7|8|9|10|11|12|13|14|15|16|17|18|19|20|21|22|23|24|25|26|27|28|29|30|31|32|
["d603"],2,第一活动地图,4,32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|
["d605"],2,第一活动地图,5,32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|
["d613"],2,第一活动地图,6,32|33|34|35|36|37|38|39|40|41|42|43|44|45|46|47|48|49|50|51|52|53|54|55|56|57|58|59|60|61|62|
["d618"],2,第一活动地图,7,62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|
["d606"],2,第一活动地图,8,62|63|64|65|66|67|68|69|70|71|72|73|74|75|76|77|78|79|80|81|82|83|84|85|86|87|88|89|90|91|92|93|94|95|96|
["mishi1"],2,第一活动地图,,
["mishi2"],2,第一活动地图,,
["mishi3"],2,第一活动地图,,
["mishi4"],2,第一活动地图,,
["mishi5"],2,第一活动地图,,
["mishi6"],2,第一活动地图,,
["mishi7"],2,第一活动地图,,
["mishi8"],2,第一活动地图,,
