///key,index,
///FiltersCS,,
///中文,类型,描述
///index,type,desc
["邪恶钳虫"],1,精英
["邪恶钳虫1"],1,精英
["邪恶钳虫2"],1,精英
["邪恶钳虫3"],1,精英
["邪恶钳虫4"],1,精英
["邪恶钳虫5"],1,精英
["邪恶钳虫6"],1,精英
["邪恶钳虫7"],1,精英
["邪恶钳虫8"],1,精英
["触龙神1"],2,BOSS
["触龙神2"],2,BOSS
["触龙神3"],2,BOSS
["触龙神4"],2,BOSS
["触龙神5"],2,BOSS
["触龙神6"],2,BOSS
["触龙神7"],2,BOSS
["触龙神8"],2,BOSS
["触龙神"],2,BOSS
["虹魔教主"],2,BOSS
["魔龙教主"],2,BOSS
["骷髅王1"],2,BOSS
["骷髅王"],2,BOSS
["酆都大帝"],2,BOSS
["酆都大帝2"],2,BOSS
["妖眼魔树"],2,BOSS
["妖眼魔树3"],2,BOSS
["深渊魔神"],2,BOSS
["深渊魔神4"],2,BOSS
["牛魔王"],2,BOSS
["牛魔王5"],2,BOSS
["黄泉教主"],2,BOSS
["黄泉教主6"],2,BOSS
["魔龙教主"],2,BOSS
["魔龙教主7"],2,BOSS
["暗之骷髅王1"],2,BOSS
["暗之骷髅王"],2,BOSS
["暗之酆都大帝2"],2,BOSS
["暗之酆都大帝"],2,BOSS
["暗之妖眼魔树3"],2,BOSS
["暗之妖眼魔树"],2,BOSS
["暗之深渊魔神4"],2,BOSS
["暗之深渊魔神"],2,BOSS
["暗之牛魔王5"],2,BOSS
["暗之牛魔王"],2,BOSS
["黄泉教主6"],2,BOSS
["黄泉教主"],2,BOSS
["暗之黄泉教主6"],2,BOSS
["暗之黄泉教主"],2,BOSS
["暗之魔龙教主7"],2,BOSS
["暗之魔龙教主"],2,BOSS
