///key,index,,,,
///FiltersCS,,,,,
///中文,技能,类型（职业|技能顺序|技能等级）,技能ID,属性,描述
///index,skill,type,skillID,attr,desc
1,基本剑术,1|1|1,3,236^300|,攻击力+3%
2,基本剑术,1|1|2,,236^500|216^1,攻击力+5%，攻速+1
3,基本剑术,1|1|3,,236^500|216^1,每5次攻击额外造成一次等值攻击力的重击伤害
4,基本剑术,1|1|4,,236^700|216^1,攻击力+7%
5,基本剑术,1|1|5,,236^700|216^1,首次攻击怪物，斩杀怪物10%血量
6,基本剑术,1|1|6,,236^1000|216^2,攻击力+10%，攻速+2
7,基本剑术,1|1|7,,236^1000|216^2,怪物血量低于10%时，10%概率直接击杀怪物
8,攻杀剑术,1|2|1,7,238^500|,攻杀剑术伤害+5%
9,攻杀剑术,1|2|2,,238^1000|216^1,攻杀剑术伤害+10%，攻速+1
10,攻杀剑术,1|2|3,,238^1000|216^1,施放攻杀剑术时，10%几率额外附加攻击等值的伤害
11,攻杀剑术,1|2|4,,238^1500|216^1,攻杀剑术伤害+15%
12,攻杀剑术,1|2|5,,238^1500|216^1,攻杀剑术命中目标后有20%的概率使目标双防下降33%持续2秒
13,攻杀剑术,1|2|6,,238^2000|216^2,攻杀剑术伤害+20%，攻速+2
14,攻杀剑术,1|2|7,,238^2000|216^2,施放攻杀剑术时，10%几率对对方造成麻痹效果
15,刺杀剑术,1|3|1,12,239^500|,刺杀剑术伤害+5%
16,刺杀剑术,1|3|2,,239^1000|216^1,刺杀剑术伤害+10%，攻速+1
17,刺杀剑术,1|3|3,,239^1000|216^1,隔位打击目标时对其伤害提高
18,刺杀剑术,1|3|4,,239^1500|216^1,刺杀剑术伤害+15%
19,刺杀剑术,1|3|5,,239^1500|216^1,刺杀剑术对开启魔法盾的敌人伤害提升25%
20,刺杀剑术,1|3|6,,239^2000|216^2,刺杀剑术伤害+20%，攻速+2
21,刺杀剑术,1|3|7,,239^2000|216^2,刺杀剑术从侧面攻击目标时伤害提升20%，如果从背后攻击目标则效果翻倍
22,半月弯刀,1|4|1,25,240^500|,半月伤害+5%
23,半月弯刀,1|4|2,,240^1000|216^1,半月伤害+10%，攻速+1
24,半月弯刀,1|4|3,,240^1000|216^1,半月攻击敌人时增加10点真实伤害
25,半月弯刀,1|4|4,,240^1500|216^1,半月伤害+15%
26,半月弯刀,1|4|5,,240^1500|216^1,释放半月时，20%概率额外触发一次半月
27,半月弯刀,1|4|6,,240^2000|216^2,半月伤害+15%，攻速+2
28,半月弯刀,1|4|7,,240^2000|216^2,领悟圆月之力，半月范围增加，攻击周身范围内的所有目标
29,野蛮冲撞,1|5|1,27,,野蛮冲撞冷却时间-1秒
30,野蛮冲撞,1|5|2,,257^2000,野蛮冲撞伤害+20%
31,野蛮冲撞,1|5|3,,257^2000,野蛮可推动“同等级”的玩家
32,野蛮冲撞,1|5|4,,257^2000,野蛮冲撞冷却时间-2秒
33,野蛮冲撞,1|5|5,,257^2000,野蛮冲撞目标后10%几率立刻凝聚烈火剑法
34,野蛮冲撞,1|5|6,,257^3000,野蛮冲撞伤害+30%
35,野蛮冲撞,1|5|7,,257^3000,野蛮冲撞目标后20%概率眩晕敌人2秒
36,护身真气,1|6|1,1033,204^3,提升角色3%伤害减免
37,护身真气,1|6|2,,204^5,提升角色5%伤害减免
38,护身真气,1|6|3,,204^500|235^1000,真气入体，生命值得到大幅提升，生命上限增加10%
39,护身真气,1|6|4,,204^700|235^1000,提升角色7%伤害减免
40,护身真气,1|6|5,,204^700|235^1000,每遭受7次攻击，抵挡一次伤害
41,护身真气,1|6|6,,204^1000|235^1000,提升角色10%伤害减免
42,护身真气,1|6|7,,204^1000|235^1000,被攻击时10%几率反弹30%伤害
43,烈焰剑法,1|7|1,26,241^500|,烈火伤害+5%
44,烈焰剑法,1|7|2,,241^1000|216^1,烈火伤害+10%，攻速+1
45,烈焰剑法,1|7|3,,241^1000|216^1,每次释放烈火剑法蓄力1层，蓄至5层时必定甩出双烈火
46,烈焰剑法,1|7|4,,241^1500|216^1,烈火伤害+15%
47,烈焰剑法,1|7|5,,241^1500|216^1,烈火剑法会引燃目标，对其造成持续的灼烧伤害，每秒灼烧敌人3%当前生命值，对怪则为每秒灼烧300血量，持续5秒
48,烈焰剑法,1|7|6,,241^2000|216^2,烈火伤害+20%，攻速+2
49,烈焰剑法,1|7|7,,241^2000|216^2,烈火对3X3范围内的敌人额外造成一次等值攻击的范围伤害
50,大火球,2|1|1,5,258^500|,火球伤害+5%
51,大火球,2|1|2,,258^1000|216^1,火球伤害+10%，人物施法速度+1
52,大火球,2|1|3,,258^1000|216^1,火球连击，30%释放大火球时同时释放两次
53,大火球,2|1|4,,258^1500|216^1,火球伤害+15%
54,大火球,2|1|5,,258^1500|216^1,火球连击，释放大火球时同时释放两次
55,大火球,2|1|6,,258^1500|216^2,火球伤害+15% 人物施法速度+2
56,大火球,2|1|7,,258^1500|216^2,释放火球时有30%的概率释放灭天火，造成单体巨额伤害值并吞噬对方伤害50%的蓝量
57,抗拒火环,2|2|1,8,,对被抗拒目标造成3%生命伤害
58,抗拒火环,2|2|2,,,对被抗拒目标造成5%生命伤害
59,抗拒火环,2|2|3,,,抗拒火环推动目标距离增加1格
60,抗拒火环,2|2|4,,,对被抗拒目标造成7%生命伤害
61,抗拒火环,2|2|5,,,抗拒火环对所有目标生效（无视玩家等级）10%概率麻痹2秒
62,抗拒火环,2|2|6,,,对被抗拒目标造成10%生命伤害
63,抗拒火环,2|2|7,,,被近身目标攻击时，概率自动释放火环推动敌人。
64,雷电术,2|3|1,11,256^500|,雷电术伤害+5%
65,雷电术,2|3|2,,256^1000|216^1,雷电术伤害+10%，施法速度+1
66,雷电术,2|3|3,,256^1000|216^1,释放三次雷电术后，释放一次群体雷电术
67,雷电术,2|3|4,,256^1500|216^1,群体雷电术伤害+15%
68,雷电术,2|3|5,,256^1500|216^1,雷电术5%的概率将击中的目标定身1秒
69,雷电术,2|3|6,,256^1500|216^2,群体雷电术伤害+20%，攻速+2
70,雷电术,2|3|7,,256^1500|216^2,彻底领悟群体雷电术，同时释放多道雷电可以对范围5*5内的所有目标造成群体伤害
71,诱惑之光,2|4|1,20,,宝宝攻速+5%，宝宝移速+5%
72,诱惑之光,2|4|2,,,宝宝攻速+10%，宝宝移速+10%，攻速+1
73,诱惑之光,2|4|3,,,直招成3级宝宝
74,诱惑之光,2|4|4,,,使用诱惑之光诱惑怪物时100%成功
75,诱惑之光,2|4|5,,,直招成5级宝宝
76,诱惑之光,2|4|6,,,宝宝攻速+20%，宝宝移速+20%，攻速+2
77,诱惑之光,2|4|7,,,直招成7级宝宝
78,火墙,2|5|1,22,253^1000|,火墙攻击目标时，伤害提升10%
79,火墙,2|5|2,,253^2000|,火墙攻击目标时，伤害提升20%
80,火墙,2|5|3,,253^2000|,火墙内目标附加绿毒效果
81,火墙,2|5|4,,253^3000|,火墙攻击目标时，伤害提升30%
82,火墙,2|5|5,,253^3000|,火墙内目标附加红毒效果
83,火墙,2|5|6,,253^3000|,使在火墙内的目标速度减少10%
84,火墙,2|5|7,,253^3000|,领悟火神之力，人物移动时，自动释放火墙
85,魔法盾,2|6|1,31,,2级魔法盾
86,魔法盾,2|6|2,,,3级魔法盾
87,魔法盾,2|6|3,,,4级魔法盾
88,魔法盾,2|6|4,,,5级魔法盾
89,魔法盾,2|6|5,,,魔法盾覆盖一层冰霜，使攻击自己的敌人5%概率被冰冻2秒
90,魔法盾,2|6|6,,,6级魔法盾
91,魔法盾,2|6|7,,235^1500|,冰冻概率提升至10%，角色HP提升15%
92,冰咆哮,2|7|1,33,259^500|,冰咆哮伤害+5%
93,冰咆哮,2|7|2,,259^1000|217^1,冰咆哮伤害+10%，施法速度+1
94,冰咆哮,2|7|3,,259^1000|217^1,释放冰咆哮时有3%的概率使敌人2秒内移速降低30%，攻速降低15%(对怪无效)
95,冰咆哮,2|7|4,,259^1500|217^1,冰咆哮伤害+15%
