///key,index,,,,,,,,
///FiltersCS,,,,,,,,,
///中文,进入不同抽卡池子概率,名字,卡片唯一ID,类型,颜色名字,颜色,卡片属性说明,套装组,刷新抽卡费用
///index,weight,name,id,type,colorName,color,tips,group,need
1,300,暴击之爪,1,1,棱彩,#bd4444,获得相当于（10%+等级×0.5%）的暴击率.获得相当于（10%+等级×0.5%）的暴击伤害,,
2,500,无敌斩,2,1,棱彩,#bd4444,获得技能 无敌斩，进入无敌状态，对周围敌人造成一次范围斩击，攻击力150%的物理伤害，持续2秒，冷却时间120秒,,
3,600,单刀赴会,3,1,棱彩,#bd4444,单人未组队时.获得相当于（5%+等级×1%）的攻击.获得相当于（5%+等级×1%）的生命.获得相当于（5%+等级×1%）的防御,,
4,1000,浴血奋战,5,1,棱彩,#bd4444,每损失10%的血量，自身提升10%的攻击力（在30%生命值时获得最大增益）,,
5,1000,玻璃大炮,6,1,棱彩,#bd4444,减少30%最大生命值。造成15%对怪增伤，15%对人增伤,,
6,1000,赏金猎人,7,1,棱彩,#bd4444,每击杀100只怪物，获得一个紫色品级以上的随机藏品,,
7,50,王中王,9,1,棱彩,#bd4444,立即获得一套大于本身装备等阶的剑甲（最高给到6级星王套）,,
8,1000,处刑官,10,1,黄金,#e18a3b,当目标当前生命值低于70%时，对其造成的伤害提升15%,,
9,1000,致命节奏,11,1,黄金,#e18a3b,暴击率+10%，暴击时间/额外造成一次攻击等值伤害,,
10,1000,连环斩,13,1,黄金,#e18a3b,连续命中同一目标5次后，第5次攻击额外造成一次等值伤害,,
11,100,战意昂扬,14,1,黄金,#e18a3b,将最大生命值的3%转化为攻击力,,
12,2000,弱化射线,16,1,黄金,#e18a3b,命中敌人时，使其造成的伤害降低15%，持续5秒，冷却时间60秒,,
13,2000,破甲,17,1,黄金,#e18a3b,获得相当于角色等级×1%的攻击穿透,,
14,1000,疾行战魂,18,1,黄金,#e18a3b,移动速度+20%，但是攻击速度-15%,,
15,100,作弊:紧急撤离,19,2,黄金,#e18a3b,使用后20秒立即安全撤离当前对局，无需前往撤离点,,
16,1000,寒霜,22,2,白银,#f2f2f2,攻击命中使目标移动速度降低20%，持续2秒，冷却时间10秒,,
17,300,狂热者,23,2,白银,#f2f2f2,获得相当于（5%+角色等级×0.5%）的攻击速度,,
18,1000,唯快不破,24,2,白银,#f2f2f2,攻击速度加成的50%转化为额外伤害,,
19,2000,铁骨,25,2,白银,#f2f2f2,受到暴击时，伤害降低20%,,
20,1000,力王,26,2,白银,#f2f2f2,获得相当于（5% + 角色等级×0.5%）的攻击力,,
21,1000,守护神盾,31,1,白银,#f2f2f2,获得相当于角色等级×1%最大生命值的护盾，冷却时间45秒,,
22,1000,烈焰,34,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，灼烧概率提升至100%,1,
23,1000,火势蔓延,35,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，攻击灼烧敌人时20%概率给全屏敌人施加灼烧效果,1,
24,1000,持续升温,36,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，对灼烧状态的敌人额外造成50%攻击增伤,1,
25,1000,弱化火焰,37,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，灼烧状态的敌人回血效率降低50%,1,
26,1000,不灭焰,38,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，灼烧时长翻倍，延长+3秒,1,
27,1000,焚心爆,39,1,白银,#f2f2f2,攻击15%概率灼烧敌人1%的最大对方生命值，每次灼烧有20%的概率触发双倍伤害,1,
28,100,攻速进化,40,1,白银,#f2f2f2,每击杀10只小怪，攻速增加1%（上限20层）,2,
29,500,屠杀进化,41,1,白银,#f2f2f2,每击杀1名玩家，攻击+15，生命+150（上限10层）,2,
30,300,移速进化,42,1,白银,#f2f2f2,每击杀10只小怪，增加1%的移速（上限20层）,2,
31,200,噬魂进化,43,1,白银,#f2f2f2,每击杀1只小怪，生命值+10，攻击+1（上限100层）,2,
32,200,猎魔进化,44,1,白银,#f2f2f2,每击杀1只精英怪，攻击+5，生命+50（上限20层）每击杀1只BOSS，攻击+10，生命+100（上限10层）,2,
33,2000,散财童子,45,1,白银,#f2f2f2,击杀小怪概率掉落额外300金币,3,
34,500,打了小的来大的,46,1,白银,#f2f2f2,击杀怪物概率召唤精英怪，概率刷新BOSS,3,
35,1000,是藏品,47,1,白银,#f2f2f2,击杀小怪概率掉落随机藏品,3,
36,2000,妙手空空,48,1,白银,#f2f2f2,开启宝箱速度提升100%（时间减半）,3,
37,500,聚宝成锋,49,1,白银,#f2f2f2,当前总收益价值每满10000金币，+1攻击，+10生命,3,
38,100,高频火符,51,1,白银,#f2f2f2,攻击15%概率触发火符攻击，火符概率提升到50%,4,
39,300,双生火符,52,1,白银,#f2f2f2,攻击15%概率触发火符攻击，进化为双生火符,4,
40,500,灼烧火符,53,1,白银,#f2f2f2,攻击15%概率触发火符攻击，100%附带灼烧,4,
41,500,爆裂火符,54,1,白银,#f2f2f2,攻击15%概率触发火符攻击，伤害+50%,4,
42,500,疾风锐眼,55,1,白银,#f2f2f2,攻速+10%，暴击率+10%,5,
43,300,暴走齿轮,56,1,白银,#f2f2f2,暴击后攻击速度提升15%，持续3秒（可刷新，不叠加）,5,
44,300,致命攻速,57,1,白银,#f2f2f2,获得（5%+等级×0.5）的攻速和暴击,5,
45,200,狂飙,58,1,白银,#f2f2f2,攻速+10%，击杀角色后攻速翻倍持续5秒,5,
46,500,花来,59,1,白银,#f2f2f2,学习隐身术，获得《花来》技能，主动释放后10秒内 角色移速增加50%，120秒CD,6,
47,1000,影遁,60,1,白银,#f2f2f2,学习隐身术，隐身时间+3秒,6,
48,1000,轻身如燕,61,1,白银,#f2f2f2,学习隐身术，移速+20%,6,
49,1000,绝境逢生,62,1,白银,#f2f2f2,学习隐身术，生命值低于35%时，获得20%最大生命值护盾（持续3秒）和30%移动速度加成（持续3秒），冷却时间75秒,6,
50,1000,调息,63,2,白银,#f2f2f2,学习隐身术，脱战状态下每秒回复自身1%生命值,6,
51,2000,变羊术,64,2,白银,#f2f2f2,你的攻击20%概率将对手变成羊，对手无法释放任何技能，持续2秒,7,
52,2000,寒冰锁,65,2,白银,#f2f2f2,你的攻击20%概率冰冻对手一秒，持续2秒,7,
53,2000,烈焰震退,66,2,白银,#f2f2f2,生命值低于35%时，击退周围敌人并使其减速40%，持续2秒，冷却时间75秒,7,
54,500,重锤定身,67,2,白银,#f2f2f2,每5次攻击，概率对敌人造成一次重击伤害，并眩晕1秒,7,
55,2000,控制欲极强,68,2,白银,#f2f2f2,每对角色触发一次控制，攻击增加+5，生命+50 上限10层（变羊、冰冻、眩晕、击退）,7,
56,1000,甘霖,70,2,白银,#f2f2f2,同时习得治愈术和神圣战甲术，范围内友军生命值低于30%时，立即为其回复15%最大生命值（每目标CD 60秒）,8,
57,1000,铁壁光环,71,2,白银,#f2f2f2,同时习得治愈术和神圣战甲术，释放神圣战甲术时，自己周围3格内友军双防增加5%，持续30秒,8,
58,1000,灵盾,72,2,白银,#f2f2f2,同时习得治愈术和神圣战甲术，每30秒为周围友军施加护盾，护盾值为自身最大生命值5%，持续5秒,8,
59,1000,开箱赐福,73,2,白银,#f2f2f2,同时习得治愈术和神圣战甲术，每一次开启宝箱，都可为周围20码内友军回复5%最大生命值,8,
60,1000,泰坦之躯,74,2,白银,#f2f2f2,体型增大30%，最大生命值+30%，防御力+15%,9,
61,1000,星界屏障,75,2,白银,#f2f2f2,最大生命值+30%，造成的伤害降低15%,9,
62,1000,坦克引擎,76,2,白银,#f2f2f2,击杀敌人时，体型增大3%并提升3%最大生命值，层数可无限叠加,9,
63,1000,铁甲觉醒,77,2,白银,#f2f2f2,每受到1000点伤害，本局防御力永久+1，生命永久+10（上限50层）,9,
64,200,肉装重击,78,2,白银,#f2f2f2,攻击时附加自身最大生命值2%的额外物理伤害,9,
65,1000,金钟罩,79,2,白银,#f2f2f2,受击时20%概率触发短暂“金钟罩”，无敌两秒（CD 45秒）,9,
66,800,我小我牛B,80,2,白银,#f2f2f2,体型缩小30%，对比自己体型大的对手每大10%增加5%对人增伤,10,
67,1000,专揍大高个,81,2,白银,#f2f2f2,当敌人体型大于自己时，攻击无视对手100%防御,10,
68,1000,以小搏大,82,2,白银,#f2f2f2,对生命值高于50%的敌人造成的伤害提升30%,10,
69,1000,蚁噬,83,2,白银,#f2f2f2,攻击附带目标最大生命值1%的真实伤害（无视无敌状态）,10,
70,1000,巨人收割机,84,2,白银,#f2f2f2,击杀体型大于自己的敌人时，永久获得50攻击力（上限50层）,10,
71,500,二次召唤,86,2,白银,#f2f2f2,习得神兽召唤技能，神兽召唤数量+1,11,
72,100,神兽狂化,87,2,白银,#f2f2f2,习得神兽召唤技能，神兽攻击+20%，生命值+20%，攻速+20%,11,
73,600,亡灵军团,88,2,白银,#f2f2f2,习得神兽召唤技能，攻击时有5%概率召唤一只骷髅战士协助战斗（最多同时存在5只）,11,
74,300,万兽共鸣,89,2,白银,#f2f2f2,习得神兽召唤技能，每拥有一只召唤物，所有召唤物攻击+1%，生命值+1%,11,
basic,,,,,,,,,元宝^10|元宝^50|元宝^100|元宝^100|元宝^100|元宝^100|
["1"],,,,,,,,1,
["2"],,,,,,,,2,
["3"],,,,,,,,3,
["5"],,,,,,,,4,
["6"],,,,,,,,5,
["7"],,,,,,,,6,
["9"],,,,,,,,7,
["10"],,,,,,,,8,
["11"],,,,,,,,9,
["13"],,,,,,,,10,
["14"],,,,,,,,11,
["16"],,,,,,,,12,
["17"],,,,,,,,13,
["18"],,,,,,,,14,
["19"],,,,,,,,15,
["22"],,,,,,,,16,
["23"],,,,,,,,17,
["24"],,,,,,,,18,
["25"],,,,,,,,19,
["26"],,,,,,,,20,
["31"],,,,,,,,21,
["34"],,,,,,,,22,
["35"],,,,,,,,23,
["36"],,,,,,,,24,
["37"],,,,,,,,25,
["38"],,,,,,,,26,
["39"],,,,,,,,27,
["40"],,,,,,,,28,
["41"],,,,,,,,29,
["42"],,,,,,,,30,
["43"],,,,,,,,31,
["44"],,,,,,,,32,
["45"],,,,,,,,33,
["46"],,,,,,,,34,
["47"],,,,,,,,35,
["48"],,,,,,,,36,
["49"],,,,,,,,37,
["51"],,,,,,,,38,
["52"],,,,,,,,39,
["53"],,,,,,,,40,
["54"],,,,,,,,41,
["55"],,,,,,,,42,
["56"],,,,,,,,43,
["57"],,,,,,,,44,
["58"],,,,,,,,45,
["59"],,,,,,,,46,
["60"],,,,,,,,47,
["61"],,,,,,,,48,
["62"],,,,,,,,49,
["63"],,,,,,,,50,
["64"],,,,,,,,51,
["65"],,,,,,,,52,
["66"],,,,,,,,53,
["67"],,,,,,,,54,
["68"],,,,,,,,55,
["70"],,,,,,,,56,
["71"],,,,,,,,57,
["72"],,,,,,,,58,
["73"],,,,,,,,59,
["74"],,,,,,,,60,
["75"],,,,,,,,61,
["76"],,,,,,,,62,
["77"],,,,,,,,63,
["78"],,,,,,,,64,
["79"],,,,,,,,65,
["80"],,,,,,,,66,
["81"],,,,,,,,67,
["82"],,,,,,,,68,
["83"],,,,,,,,69,
["84"],,,,,,,,70,
["86"],,,,,,,,71,
["87"],,,,,,,,72,
["88"],,,,,,,,73,
["89"],,,,,,,,74,
