///key,index,
///FiltersCS,,
///中文,需要消耗,精修等级
///index,need,level
1,经验结晶^1|金币^10000,1
2,经验结晶^1|金币^10000,2
3,经验结晶^1|金币^10000,3
4,经验结晶^1|金币^10000,4
5,经验结晶^1|金币^10000,5
6,经验结晶^1|金币^10000,6
7,经验结晶^1|金币^10000,7
8,经验结晶^1|金币^10000,8
9,经验结晶^1|金币^10000,9
10,经验结晶^1|金币^10000,10
11,经验结晶^1|金币^10000,11
12,经验结晶^1|金币^10000,12
13,经验结晶^1|金币^10000,13
14,经验结晶^1|金币^10000,14
15,经验结晶^1|金币^10000,15
16,经验结晶^1|金币^10000,16
17,经验结晶^1|金币^10000,17
18,经验结晶^1|金币^10000,18
19,经验结晶^1|金币^10000,19
20,经验结晶^1|金币^10000,20
21,经验结晶^1|金币^10000,21
22,经验结晶^1|金币^10000,22
23,经验结晶^1|金币^10000,23
24,经验结晶^1|金币^10000,24
25,经验结晶^1|金币^10000,25
26,经验结晶^1|金币^10000,26
27,经验结晶^1|金币^10000,27
28,经验结晶^1|金币^10000,28
29,经验结晶^1|金币^10000,29
30,经验结晶^1|金币^10000,30
31,经验结晶^1|金币^10000,31
32,经验结晶^1|金币^10000,32
33,经验结晶^1|金币^10000,33
34,经验结晶^1|金币^10000,34
35,经验结晶^1|金币^10000,35
36,经验结晶^1|金币^10000,36
37,经验结晶^1|金币^10000,37
38,经验结晶^1|金币^10000,38
39,经验结晶^1|金币^10000,39
40,经验结晶^1|金币^10000,40
41,经验结晶^1|金币^10000,41
42,经验结晶^1|金币^10000,42
43,经验结晶^1|金币^10000,43
44,经验结晶^1|金币^10000,44
45,经验结晶^1|金币^10000,45
46,经验结晶^1|金币^10000,46
47,经验结晶^1|金币^10000,47
48,经验结晶^1|金币^10000,48
49,经验结晶^1|金币^10000,49
50,经验结晶^1|金币^10000,50
51,经验结晶^1|金币^10000,51
52,经验结晶^1|金币^10000,52
53,经验结晶^1|金币^10000,53
54,经验结晶^1|金币^10000,54
55,经验结晶^1|金币^10000,55
56,经验结晶^1|金币^10000,56
57,经验结晶^1|金币^10000,57
58,经验结晶^1|金币^10000,58
59,经验结晶^1|金币^10000,59
60,经验结晶^1|金币^10000,60
61,经验结晶^1|金币^10000,61
62,经验结晶^1|金币^10000,62
63,经验结晶^1|金币^10000,63
64,经验结晶^1|金币^10000,64
65,经验结晶^1|金币^10000,65
66,经验结晶^1|金币^10000,66
67,经验结晶^1|金币^10000,67
68,经验结晶^1|金币^10000,68
69,经验结晶^1|金币^10000,69
70,经验结晶^1|金币^10000,70
71,经验结晶^1|金币^10000,71
72,经验结晶^1|金币^10000,72
73,经验结晶^1|金币^10000,73
74,经验结晶^1|金币^10000,74
75,经验结晶^1|金币^10000,75
76,经验结晶^1|金币^10000,76
77,经验结晶^1|金币^10000,77
78,经验结晶^1|金币^10000,78
79,经验结晶^1|金币^10000,79
80,经验结晶^1|金币^10000,80
81,经验结晶^1|金币^10000,81
82,经验结晶^1|金币^10000,82
83,经验结晶^1|金币^10000,83
84,经验结晶^1|金币^10000,84
85,经验结晶^1|金币^10000,85
86,经验结晶^1|金币^10000,86
87,经验结晶^1|金币^10000,87
88,经验结晶^1|金币^10000,88
89,经验结晶^1|金币^10000,89
90,经验结晶^1|金币^10000,90
91,经验结晶^1|金币^10000,91
92,经验结晶^1|金币^10000,92
93,经验结晶^1|金币^10000,93
94,经验结晶^1|金币^10000,94
95,经验结晶^1|金币^10000,95
96,经验结晶^1|金币^10000,96
97,经验结晶^1|金币^10000,97
98,经验结晶^1|金币^10000,98
99,经验结晶^1|金币^10000,99
100,经验结晶^1|金币^10000,100
